"management","iteration","node_id","taxon_from","services","node_int","node_to","services_to","type","hop"
"E","Emp",519,"Butterfly","Pollination",32,524,"Pollination","I",2
"E","Emp",519,"Butterfly","Pollination",32,524,"Butterfly watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,496,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,496,"Bird watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,497,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,497,"Bird watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,498,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,498,"Bird watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,499,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,499,"Seed dispersal","I",2
"E","Emp",519,"Butterfly","Pollination",32,499,"Bird watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,500,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,500,"Seed dispersal","I",2
"E","Emp",519,"Butterfly","Pollination",32,501,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,501,"Seed dispersal","I",2
"E","Emp",519,"Butterfly","Pollination",32,501,"Bird watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,503,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,503,"Bird watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,504,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,504,"Seed dispersal","I",2
"E","Emp",519,"Butterfly","Pollination",32,505,"Crop damage","I",2
"E","Emp",519,"Butterfly","Pollination",32,516,"Pollination","I",2
"E","Emp",519,"Butterfly","Pollination",32,516,"Butterfly watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,522,"Pollination","I",2
"E","Emp",519,"Butterfly","Pollination",32,522,"Butterfly watching","I",2
"E","Emp",519,"Butterfly","Pollination",32,526,"Pollination","I",2
"E","Emp",519,"Butterfly","Pollination",32,526,"Butterfly watching","I",2
"E","Emp",524,"Butterfly","Pollination",32,519,"Pollination","I",2
"E","Emp",524,"Butterfly","Pollination",32,519,"Butterfly watching","I",2
"E","Emp",524,"Butterfly","Pollination",32,496,"Crop damage","I",2
"E","Emp",524,"Butterfly","Pollination",32,496,"Bird watching","I",2
"E","Emp",524,"Butterfly","Pollination",32,497,"Crop damage","I",2
"E","Emp",524,"Butterfly","Pollination",32,497,"Bird watching","I",2
"E","Emp",524,"Butterfly","Pollination",32,498,"Crop damage","I",2
"E","Emp",524,"Butterfly","Pollination",32,498,"Bird watching","I",2
"E","Emp",524,"Butterfly","Pollination",32,499,"Crop damage","I",2
"E","Emp",524,"Butterfly","Pollination",32,499,"Seed dispersal","I",2
"E","Emp",524,"Butterfly","Pollination",32,499,"Bird watching","I",2
"E","Emp",524,"Butterfly","Pollination",32,500,"Crop damage","I",2
"E","Emp",524,"Butterfly","Pollination",32,500,"Seed dispersal","I",2
"E","Emp",524,"Butterfly","Pollination",32,501,"Crop damage","I",2
"E","Emp",524,"Butterfly","Pollination",32,501,"Seed dispersal","I",2
"E","Emp",524,"Butterfly","Pollination",32,501,"Bird watching","I",2
"E","Emp",524,"Butterfly","Pollination",32,503,"Crop damage","I",2
"E","Emp",524,"Butterfly","Pollination",32,503,"Bird watching","I",2
"E","Emp",524,"Butterfly","Pollination",32,504,"Crop damage","I",2
"E","Emp",524,"Butterfly","Pollination",32,504,"Seed dispersal","I",2
