"management","iteration","node_from","node_to"
"IN",1,95,295
"IN",1,95,112
"IN",1,95,126
"IN",1,99,358
"IN",1,98,358
"IN",1,97,358
"IN",1,97,351
"IN",1,358,376
"IN",1,358,377
"IN",1,358,368
"IN",1,358,367
"IN",1,358,378
"IN",1,358,374
"IN",1,358,369
"IN",1,358,365
"IN",1,358,381
"IN",1,358,380
"IN",1,358,370
"IN",1,98,470
"IN",1,98,445
"IN",1,99,412
"IN",1,94,445
"IN",1,94,429
"IN",1,94,457
"IN",1,94,438
"IN",1,96,445
"IN",1,96,438
"IN",1,95,469
"IN",1,95,445
"IN",1,95,422
"IN",1,95,438
"IN",1,99,508
"IN",1,95,196
"IN",1,95,514
"IN",1,95,516
"IN",1,95,523
"IN",1,99,495
"IN",1,99,496
"IN",1,99,497
"IN",1,99,498
"IN",1,99,499
"IN",1,99,500
"IN",1,99,501
"IN",1,99,502
"IN",1,99,503
"IN",1,99,504
"IN",1,99,505
"IN",1,352,375
"IN",1,338,380
"IN",1,338,372
"IN",1,508,547
"IN",1,508,545
"IN",1,508,546
"IN",1,508,549
"IN",2,95,295
"IN",2,95,112
"IN",2,95,126
"IN",2,99,358
"IN",2,98,358
"IN",2,97,358
"IN",2,97,351
"IN",2,358,376
"IN",2,358,377
"IN",2,358,368
"IN",2,358,367
"IN",2,358,378
"IN",2,358,374
"IN",2,358,369
"IN",2,358,365
"IN",2,358,381
"IN",2,358,380
"IN",2,358,370
"IN",2,98,470
"IN",2,98,445
"IN",2,99,412
"IN",2,94,445
"IN",2,94,429
"IN",2,94,457
"IN",2,94,438
"IN",2,96,445
"IN",2,96,438
"IN",2,95,469
"IN",2,95,445
"IN",2,95,422
"IN",2,95,438
"IN",2,99,508
"IN",2,95,196
"IN",2,95,514
"IN",2,95,516
"IN",2,95,523
"IN",2,99,495
"IN",2,99,496
"IN",2,99,497
"IN",2,99,498
"IN",2,99,499
"IN",2,99,500
"IN",2,99,501
"IN",2,99,502
"IN",2,99,503
"IN",2,99,504
"IN",2,99,505
"IN",2,358,366
"IN",2,490,541
"IN",2,478,534
"IN",2,492,536
"IN",2,478,540
"IN",2,478,543
"IN",3,95,295
"IN",3,95,112
"IN",3,95,126
"IN",3,99,358
"IN",3,98,358
"IN",3,97,358
"IN",3,97,351
"IN",3,358,376
"IN",3,358,377
"IN",3,358,368
"IN",3,358,367
"IN",3,358,378
"IN",3,358,374
"IN",3,358,369
"IN",3,358,365
"IN",3,358,381
"IN",3,358,380
"IN",3,358,370
"IN",3,98,470
"IN",3,98,445
"IN",3,99,412
"IN",3,94,445
"IN",3,94,429
"IN",3,94,457
"IN",3,94,438
"IN",3,96,445
"IN",3,96,438
"IN",3,95,469
"IN",3,95,445
"IN",3,95,422
"IN",3,95,438
"IN",3,99,508
"IN",3,95,196
"IN",3,95,514
"IN",3,95,516
"IN",3,95,523
"IN",3,99,495
"IN",3,99,496
"IN",3,99,497
"IN",3,99,498
"IN",3,99,499
"IN",3,99,500
"IN",3,99,501
"IN",3,99,502
"IN",3,99,503
"IN",3,99,504
"IN",3,99,505
"IN",3,338,380
"IN",3,338,372
"IN",3,477,527
"IN",3,489,527
"IN",3,490,527
"IN",3,477,541
"IN",3,489,541
"IN",3,490,541
"IN",3,350,365
"IN",3,358,379
"IN",3,508,548
"IN",4,95,295
"IN",4,95,112
"IN",4,95,126
"IN",4,99,358
"IN",4,98,358
"IN",4,97,358
"IN",4,97,351
"IN",4,358,376
"IN",4,358,377
"IN",4,358,368
"IN",4,358,367
"IN",4,358,378
"IN",4,358,374
"IN",4,358,369
"IN",4,358,365
"IN",4,358,381
"IN",4,358,380
"IN",4,358,370
"IN",4,98,470
"IN",4,98,445
"IN",4,99,412
"IN",4,94,445
"IN",4,94,429
"IN",4,94,457
"IN",4,94,438
"IN",4,96,445
"IN",4,96,438
"IN",4,95,469
"IN",4,95,445
"IN",4,95,422
"IN",4,95,438
"IN",4,99,508
"IN",4,95,196
"IN",4,95,514
"IN",4,95,516
"IN",4,95,523
"IN",4,99,495
"IN",4,99,496
"IN",4,99,497
"IN",4,99,498
"IN",4,99,499
"IN",4,99,500
"IN",4,99,501
"IN",4,99,502
"IN",4,99,503
"IN",4,99,504
"IN",4,99,505
"IN",4,508,544
"IN",4,358,366
"IN",4,358,382
"IN",4,508,545
"IN",4,508,546
"IN",4,508,548
"IN",5,95,295
"IN",5,95,112
"IN",5,95,126
"IN",5,99,358
"IN",5,98,358
"IN",5,97,358
"IN",5,97,351
"IN",5,358,376
"IN",5,358,377
"IN",5,358,368
"IN",5,358,367
"IN",5,358,378
"IN",5,358,374
"IN",5,358,369
"IN",5,358,365
"IN",5,358,381
"IN",5,358,380
"IN",5,358,370
"IN",5,98,470
"IN",5,98,445
"IN",5,99,412
"IN",5,94,445
"IN",5,94,429
"IN",5,94,457
"IN",5,94,438
"IN",5,96,445
"IN",5,96,438
"IN",5,95,469
"IN",5,95,445
"IN",5,95,422
"IN",5,95,438
"IN",5,99,508
