"iteration","remain_species","taxon","abun"
1,95,"Crop",815.862068965517
1,99,"Crop",460.379310344828
1,98,"Crop",92.9655172413793
1,97,"Crop",80.3793103448276
1,358,"Aphid",126029062.741379
1,94,"Crop",23.9838362068965
1,96,"Crop",31.9784482758621
1,338,"Aphid",2486
1,508,"Seed-feeding rodent",2301.16379310345
1,360,"Aphid",60494
1,295,"Flower-visiting",2349.85129310345
1,112,"Flower-visiting",25875.3081896552
1,126,"Flower-visiting",5472.24137931035
1,351,"Aphid",1824145.29310345
1,376,"Secondary aphid parasitoid",505649.106681035
1,377,"Secondary aphid parasitoid",757744.129310345
1,368,"Primary aphid parasitoid",162667.157327586
1,367,"Primary aphid parasitoid",53140.8415948276
1,378,"Secondary aphid parasitoid",146144.892241379
1,374,"Primary aphid parasitoid",319755.905172414
1,369,"Primary aphid parasitoid",170795.702586207
1,365,"Primary aphid parasitoid",416021.857758621
1,381,"Secondary aphid parasitoid",1146849.88146552
1,380,"Secondary aphid parasitoid",88823.7284482759
1,370,"Primary aphid parasitoid",222752.146551724
1,470,"Leaf-miner parasitoid",899976.390086207
1,445,"Leaf-miner parasitoid",2361161.01724138
1,412,"Leaf-miner parasitoid",49668.5689655172
1,429,"Leaf-miner parasitoid",10664.8125
1,457,"Leaf-miner parasitoid",107274.625
1,438,"Leaf-miner parasitoid",339493.939655172
1,469,"Leaf-miner parasitoid",146613.209051724
1,422,"Leaf-miner parasitoid",133363.485991379
1,196,"Flower-visiting",4894.40732758621
1,514,"Butterfly",475.577586206897
1,516,"Butterfly",302.739224137931
1,523,"Butterfly",269.034482758621
1,495,"Seed-feeding bird",36.3814655172414
1,496,"Seed-feeding bird",415.974137931035
1,497,"Seed-feeding bird",47.7101293103448
1,498,"Seed-feeding bird",1078.41810344828
1,499,"Seed-feeding bird",135.948275862069
1,500,"Seed-feeding bird",283.356681034483
1,501,"Seed-feeding bird",499.073275862069
1,502,"Seed-feeding bird",153.76724137931
1,503,"Seed-feeding bird",105.720905172414
1,504,"Seed-feeding bird",151.609913793103
1,505,"Seed-feeding bird",59
1,372,"Primary aphid parasitoid",20947.1810344828
1,544,"Rodent ectoparasite",100
1,366,"Primary aphid parasitoid",552
1,382,"Secondary aphid parasitoid",552
1,545,"Rodent ectoparasite",82
1,546,"Rodent ectoparasite",34
1,547,"Rodent ectoparasite",33
1,550,"Rodent ectoparasite",13
1,548,"Rodent ectoparasite",29
1,549,"Rodent ectoparasite",3
2,95,"Crop",815.862068965517
2,99,"Crop",460.379310344828
2,98,"Crop",92.9655172413793
2,97,"Crop",80.3793103448276
2,358,"Aphid",149982351.448276
2,94,"Crop",23.9838362068965
2,96,"Crop",31.9784482758621
2,508,"Seed-feeding rodent",2110.45150862069
2,481,"Seed-feeding insect",6075
2,295,"Flower-visiting",2384.86206896552
2,112,"Flower-visiting",25976.7165948276
2,126,"Flower-visiting",8024.20689655172
2,351,"Aphid",1815799.59051724
2,376,"Secondary aphid parasitoid",540806.211206897
2,377,"Secondary aphid parasitoid",948568.482758621
2,368,"Primary aphid parasitoid",214229.327586207
2,367,"Primary aphid parasitoid",59842.0344827586
2,378,"Secondary aphid parasitoid",177291.103448276
2,374,"Primary aphid parasitoid",319755.905172414
2,369,"Primary aphid parasitoid",237965.982758621
2,365,"Primary aphid parasitoid",399781.142241379
2,381,"Secondary aphid parasitoid",1182637.70689655
2,380,"Secondary aphid parasitoid",110949.267241379
2,370,"Primary aphid parasitoid",292223.198275862
2,470,"Leaf-miner parasitoid",925932.769396552
2,445,"Leaf-miner parasitoid",2361161.01724138
2,412,"Leaf-miner parasitoid",44093.6368534483
2,429,"Leaf-miner parasitoid",12793.8125
2,457,"Leaf-miner parasitoid",160813.625
2,438,"Leaf-miner parasitoid",455598.745689655
2,469,"Leaf-miner parasitoid",100350.358836207
2,422,"Leaf-miner parasitoid",137229.560344828
2,196,"Flower-visiting",5032.12068965517
2,514,"Butterfly",417.366379310345
2,516,"Butterfly",285.739224137931
2,523,"Butterfly",269.034482758621
2,495,"Seed-feeding bird",47.2112068965517
2,496,"Seed-feeding bird",375.547413793104
2,497,"Seed-feeding bird",47.7101293103448
2,498,"Seed-feeding bird",1054.03771551724
2,499,"Seed-feeding bird",101.01724137931
2,500,"Seed-feeding bird",331.469827586207
2,501,"Seed-feeding bird",569.594827586207
2,502,"Seed-feeding bird",153.76724137931
2,503,"Seed-feeding bird",153.801724137931
2,504,"Seed-feeding bird",136.609913793103
2,505,"Seed-feeding bird",5
2,544,"Rodent ectoparasite",238
2,539,"Insect seed-feeder parasitoid",1657
2,545,"Rodent ectoparasite",154
2,546,"Rodent ectoparasite",28
2,550,"Rodent ectoparasite",13
2,379,"Secondary aphid parasitoid",73
3,95,"Crop",815.862068965517
3,99,"Crop",460.379310344828
3,98,"Crop",92.9655172413793
3,97,"Crop",80.3793103448276
3,358,"Aphid",151425826.034483
3,94,"Crop",23.9838362068965
3,96,"Crop",31.9784482758621
3,508,"Seed-feeding rodent",2338.60344827586
3,295,"Flower-visiting",2349.85129310345
3,112,"Flower-visiting",28453.0172413793
3,126,"Flower-visiting",8105.24137931035
3,351,"Aphid",1866470.29310345
3,376,"Secondary aphid parasitoid",489225.106681035
3,377,"Secondary aphid parasitoid",755659.120689655
3,368,"Primary aphid parasitoid",217346.948275862
3,367,"Primary aphid parasitoid",70218.9493534483
3,378,"Secondary aphid parasitoid",179535.931034483
3,374,"Primary aphid parasitoid",364040.683189655
