"iteration","remain_species","taxon","abun"
1,95,"Crop",815.862068965517
1,99,"Crop",460.379310344828
1,98,"Crop",92.9655172413793
1,97,"Crop",80.3793103448276
1,358,"Aphid",131314104.034483
1,94,"Crop",23.9838362068965
1,96,"Crop",31.9784482758621
1,352,"Aphid",142479
1,477,"Seed-feeding insect",1105
1,487,"Seed-feeding insect",552
1,489,"Seed-feeding insect",552
1,490,"Seed-feeding insect",552
1,479,"Seed-feeding insect",552
1,480,"Seed-feeding insect",552
1,488,"Seed-feeding insect",552
1,356,"Aphid",547
1,350,"Aphid",78775
1,491,"Seed-feeding insect",292
1,508,"Seed-feeding rodent",2149.60344827586
1,478,"Seed-feeding insect",65740
1,364,"Aphid",322636
1,295,"Flower-visiting",2523.86206896552
1,112,"Flower-visiting",27056.0172413793
1,126,"Flower-visiting",5500.1724137931
1,351,"Aphid",1829668.29310345
1,376,"Secondary aphid parasitoid",627047.948275862
1,377,"Secondary aphid parasitoid",948568.482758621
1,368,"Primary aphid parasitoid",217346.948275862
1,367,"Primary aphid parasitoid",73160.8103448276
1,378,"Secondary aphid parasitoid",179535.931034483
1,374,"Primary aphid parasitoid",382575.206896552
1,369,"Primary aphid parasitoid",286388.724137931
1,365,"Primary aphid parasitoid",506873.827586207
1,381,"Secondary aphid parasitoid",1182637.70689655
1,380,"Secondary aphid parasitoid",112739.931034483
1,370,"Primary aphid parasitoid",306023.620689655
1,470,"Leaf-miner parasitoid",926223.439655172
1,445,"Leaf-miner parasitoid",2351730.01724138
1,412,"Leaf-miner parasitoid",44968.5689655172
1,429,"Leaf-miner parasitoid",10664.8125
1,457,"Leaf-miner parasitoid",104581.625
1,438,"Leaf-miner parasitoid",366112.034482759
1,469,"Leaf-miner parasitoid",126842.189655172
1,422,"Leaf-miner parasitoid",131446.327586207
1,196,"Flower-visiting",5032.12068965517
1,514,"Butterfly",434.758620689655
1,516,"Butterfly",351.23275862069
1,523,"Butterfly",269.034482758621
1,495,"Seed-feeding bird",57.2521551724138
1,496,"Seed-feeding bird",415.974137931035
1,497,"Seed-feeding bird",47.7101293103448
1,498,"Seed-feeding bird",1263.22413793103
1,499,"Seed-feeding bird",135.948275862069
1,500,"Seed-feeding bird",390.784482758621
1,501,"Seed-feeding bird",668.793103448276
1,502,"Seed-feeding bird",153.76724137931
1,503,"Seed-feeding bird",153.801724137931
1,504,"Seed-feeding bird",168.284482758621
1,505,"Seed-feeding bird",60
1,375,"Primary aphid parasitoid",1657
1,366,"Primary aphid parasitoid",552
1,382,"Secondary aphid parasitoid",552
1,527,"Insect seed-feeder parasitoid",1105
1,528,"Insect seed-feeder parasitoid",1105
1,529,"Insect seed-feeder parasitoid",552
1,532,"Insect seed-feeder parasitoid",552
1,533,"Insect seed-feeder parasitoid",552
1,540,"Insect seed-feeder parasitoid",53523.0517241379
1,541,"Insect seed-feeder parasitoid",2209
1,537,"Insect seed-feeder parasitoid",1167
1,550,"Rodent ectoparasite",13
1,379,"Secondary aphid parasitoid",73
1,545,"Rodent ectoparasite",78
1,548,"Rodent ectoparasite",14
1,549,"Rodent ectoparasite",3
1,534,"Insect seed-feeder parasitoid",411664.051724138
1,542,"Insect seed-feeder parasitoid",92458
1,543,"Insect seed-feeder parasitoid",76075
2,95,"Crop",815.862068965517
2,99,"Crop",460.379310344828
2,98,"Crop",92.9655172413793
2,97,"Crop",80.3793103448276
2,358,"Aphid",131139580.034483
2,94,"Crop",23.9838362068965
2,96,"Crop",31.9784482758621
2,338,"Aphid",2486
2,479,"Seed-feeding insect",552
2,480,"Seed-feeding insect",552
2,488,"Seed-feeding insect",552
2,481,"Seed-feeding insect",6075
2,356,"Aphid",547
2,350,"Aphid",78775
2,508,"Seed-feeding rodent",1856.60344827586
2,478,"Seed-feeding insect",65740
2,364,"Aphid",322636
2,295,"Flower-visiting",2523.86206896552
2,112,"Flower-visiting",28049.0172413793
2,126,"Flower-visiting",8158.1724137931
2,351,"Aphid",1824145.29310345
2,376,"Secondary aphid parasitoid",627047.948275862
2,377,"Secondary aphid parasitoid",948568.482758621
2,368,"Primary aphid parasitoid",217346.948275862
2,367,"Primary aphid parasitoid",73160.8103448276
2,378,"Secondary aphid parasitoid",179535.931034483
2,374,"Primary aphid parasitoid",382575.206896552
2,369,"Primary aphid parasitoid",286388.724137931
2,365,"Primary aphid parasitoid",506873.827586207
2,381,"Secondary aphid parasitoid",1182637.70689655
2,380,"Secondary aphid parasitoid",113568.931034483
2,370,"Primary aphid parasitoid",306023.620689655
2,470,"Leaf-miner parasitoid",927880.439655172
2,445,"Leaf-miner parasitoid",2351730.01724138
2,412,"Leaf-miner parasitoid",44968.5689655172
2,429,"Leaf-miner parasitoid",10664.8125
2,457,"Leaf-miner parasitoid",103752.625
2,438,"Leaf-miner parasitoid",353564.034482759
2,469,"Leaf-miner parasitoid",125185.189655172
2,422,"Leaf-miner parasitoid",131998.327586207
2,196,"Flower-visiting",5032.12068965517
2,514,"Butterfly",434.758620689655
2,516,"Butterfly",360.23275862069
2,523,"Butterfly",269.034482758621
2,495,"Seed-feeding bird",51.2521551724138
2,496,"Seed-feeding bird",415.974137931035
2,497,"Seed-feeding bird",47.7101293103448
2,498,"Seed-feeding bird",1263.22413793103
2,499,"Seed-feeding bird",135.948275862069
2,500,"Seed-feeding bird",390.784482758621
2,501,"Seed-feeding bird",668.793103448276
2,502,"Seed-feeding bird",144.76724137931
2,503,"Seed-feeding bird",153.801724137931
2,504,"Seed-feeding bird",168.284482758621
