"management","node_id","taxon","abun","services","type","body_size","weight","output"
"E",99,"Crop",553,"Crop production","D",1,553,"+"
"E",98,"Crop",32,"Crop production","D",1,32,"+"
"E",97,"Crop",28,"Crop production","D",1,28,"+"
"E",94,"Crop",9,"Crop production","D",1,9,"+"
"E",96,"Crop",12,"Crop production","D",1,12,"+"
"E",95,"Crop",350,"Crop production","D",1,350,"+"
"SE",99,"Crop",553,"Crop production","D",1,553,"+"
"SE",98,"Crop",32,"Crop production","D",1,32,"+"
"SE",97,"Crop",28,"Crop production","D",1,28,"+"
"SE",94,"Crop",9,"Crop production","D",1,9,"+"
"SE",96,"Crop",12,"Crop production","D",1,12,"+"
"SE",95,"Crop",350,"Crop production","D",1,350,"+"
"M",99,"Crop",395,"Crop production","D",1,395,"+"
"M",98,"Crop",32,"Crop production","D",1,32,"+"
"M",97,"Crop",28,"Crop production","D",1,28,"+"
"M",94,"Crop",9,"Crop production","D",1,9,"+"
"M",96,"Crop",12,"Crop production","D",1,12,"+"
"M",95,"Crop",350,"Crop production","D",1,350,"+"
"SI",99,"Crop",395,"Crop production","D",1,395,"+"
"SI",98,"Crop",32,"Crop production","D",1,32,"+"
"SI",97,"Crop",28,"Crop production","D",1,28,"+"
"SI",94,"Crop",9,"Crop production","D",1,9,"+"
"SI",96,"Crop",12,"Crop production","D",1,12,"+"
"SI",95,"Crop",210,"Crop production","D",1,210,"+"
"I",99,"Crop",237,"Crop production","D",1,237,"+"
"I",98,"Crop",32,"Crop production","D",1,32,"+"
"I",97,"Crop",28,"Crop production","D",1,28,"+"
"I",94,"Crop",9,"Crop production","D",1,9,"+"
"I",96,"Crop",12,"Crop production","D",1,12,"+"
"I",95,"Crop",210,"Crop production","D",1,210,"+"
"E",330,"Flower-visiting",398.64021619,"Pollination","D",1,398.64021619,"+"
"E",105,"Flower-visiting",377.052953924,"Pollination","D",1,377.052953924,"+"
"E",321,"Flower-visiting",3402.889355599,"Pollination","D",1,3402.889355599,"+"
"E",202,"Flower-visiting",380.318742848,"Pollination","D",1,380.318742848,"+"
"E",260,"Flower-visiting",20513.368453725,"Pollination","D",1,20513.368453725,"+"
"E",123,"Flower-visiting",8514.665805465,"Pollination","D",1,8514.665805465,"+"
"E",312,"Flower-visiting",1398.22500923,"Pollination","D",1,1398.22500923,"+"
"E",183,"Flower-visiting",582.00360377,"Pollination","D",1,582.00360377,"+"
"E",179,"Flower-visiting",19285.9405956275,"Pollination","D",1,19285.9405956275,"+"
"E",164,"Flower-visiting",12898.982792323,"Pollination","D",1,12898.982792323,"+"
"E",141,"Flower-visiting",412.8414965115,"Pollination","D",1,412.8414965115,"+"
"E",126,"Flower-visiting",4972.51956506,"Pollination","D",1,4972.51956506,"+"
"E",193,"Flower-visiting",512.23697184,"Pollination","D",1,512.23697184,"+"
"E",166,"Flower-visiting",373.787165,"Pollination","D",1,373.787165,"+"
"E",228,"Flower-visiting",427.731866549,"Pollination","D",1,427.731866549,"+"
"E",322,"Flower-visiting",4103.51910284,"Pollination","D",1,4103.51910284,"+"
"E",278,"Flower-visiting",1737.693378422,"Pollination","D",1,1737.693378422,"+"
"E",144,"Flower-visiting",387.6384670465,"Pollination","D",1,387.6384670465,"+"
"E",198,"Flower-visiting",551.591291737,"Pollination","D",1,551.591291737,"+"
"E",326,"Flower-visiting",767.195911353,"Pollination","D",1,767.195911353,"+"
"E",128,"Flower-visiting",392.073707598,"Pollination","D",1,392.073707598,"+"
"E",265,"Flower-visiting",771.0842595,"Pollination","D",1,771.0842595,"+"
"E",245,"Flower-visiting",1987.209835682,"Pollination","D",1,1987.209835682,"+"
"E",307,"Flower-visiting",14255.192712528,"Pollination","D",1,14255.192712528,"+"
