"management","services_from","node_from","node_to","taxon_from","services_to","weight","hop","type"
"E","Crop damage",493,18,"Seed-feeding bird","None",0.000625914357432077,1,"I"
"E","Crop damage",493,24,"Seed-feeding bird","None",0.0032227930744375,1,"I"
"E","Crop damage",493,31,"Seed-feeding bird","None",0.00207750297360434,1,"I"
"E","Crop damage",493,41,"Seed-feeding bird","None",0.00436808317527066,1,"I"
"E","Crop damage",493,57,"Seed-feeding bird","None",6.65866337693699e-05,1,"I"
"E","Crop damage",493,80,"Seed-feeding bird","None",0.000719135644709195,1,"I"
"E","Crop damage",493,93,"Seed-feeding bird","Crop production",0.0210053651324497,1,"I"
"E","Crop damage",494,13,"Seed-feeding bird","None",0.00257665406309705,1,"I"
"E","Crop damage",494,17,"Seed-feeding bird","None",0.00208429978352437,1,"I"
"E","Crop damage",494,22,"Seed-feeding bird","None",0.000410295232977238,1,"I"
"E","Crop damage",494,26,"Seed-feeding bird","None",0.00308542015198883,1,"I"
"E","Crop damage",494,31,"Seed-feeding bird","None",0.00256024225377796,1,"I"
"E","Crop damage",494,41,"Seed-feeding bird","None",0.00538307345666136,1,"I"
"E","Crop damage",494,43,"Seed-feeding bird","None",0.000820590465954475,1,"I"
"E","Crop damage",494,56,"Seed-feeding bird","None",0.00103394398710264,1,"I"
"E","Crop damage",494,59,"Seed-feeding bird","None",0.00144423922007988,1,"I"
"E","Crop damage",494,72,"Seed-feeding bird","None",0.00237971235126798,1,"I"
"E","Crop damage",494,73,"Seed-feeding bird","None",0.00354495081292333,1,"I"
"E","Crop damage",494,85,"Seed-feeding bird","None",0.000213353521148164,1,"I"
"E","Crop damage",494,93,"Seed-feeding bird","Crop production",0.0258862798520231,1,"I"
"E","Crop damage",495,10,"Seed-feeding bird","None",0.00283228042643075,1,"I"
"E","Crop damage",495,13,"Seed-feeding bird","None",0.00290632697352698,1,"I"
"E","Crop damage",495,15,"Seed-feeding bird","None",0.000777488744510402,1,"I"
"E","Crop damage",495,17,"Seed-feeding bird","None",0.00235097787030526,1,"I"
"E","Crop damage",495,18,"Seed-feeding bird","None",0.000870046928380688,1,"I"
"E","Crop damage",495,24,"Seed-feeding bird","None",0.00447981609932184,1,"I"
"E","Crop damage",495,26,"Seed-feeding bird","None",0.00348018771352275,1,"I"
"E","Crop damage",495,31,"Seed-feeding bird","None",0.00288781533675292,1,"I"
"E","Crop damage",495,36,"Seed-feeding bird","None",0.00216586150256469,1,"I"
"E","Crop damage",495,41,"Seed-feeding bird","None",0.00607181686189076,1,"I"
"E","Crop damage",495,56,"Seed-feeding bird","None",0.0011662331167656,1,"I"
"E","Crop damage",495,57,"Seed-feeding bird","None",9.25581838702859e-05,1,"I"
"E","Crop damage",495,59,"Seed-feeding bird","None",0.00162902403611703,1,"I"
"E","Crop damage",495,71,"Seed-feeding bird","None",0.000870046928380688,1,"I"
"E","Crop damage",495,72,"Seed-feeding bird","None",0.00268418733223829,1,"I"
"E","Crop damage",495,73,"Seed-feeding bird","None",0.00399851354319635,1,"I"
"E","Crop damage",495,80,"Seed-feeding bird","None",0.000999628385799088,1,"I"
"E","Crop damage",495,85,"Seed-feeding bird","None",0.000240651278062743,1,"I"
"E","Crop damage",495,93,"Seed-feeding bird","Crop production",0.0291983291260193,1,"I"
"E","Crop damage",496,13,"Seed-feeding bird","None",0.00233373718172763,1,"I"
"E","Crop damage",496,17,"Seed-feeding bird","None",0.00188780014063318,1,"I"
"E","Crop damage",496,18,"Seed-feeding bird","None",0.000698634697714642,1,"I"
"E","Crop damage",496,24,"Seed-feeding bird","None",0.00359722546482858,1,"I"
"E","Crop damage",496,26,"Seed-feeding bird","None",0.00279453879085857,1,"I"
"E","Crop damage",496,31,"Seed-feeding bird","None",0.00231887261369115,1,"I"
"E","Crop damage",496,36,"Seed-feeding bird","None",0.00173915446026836,1,"I"
"E","Crop damage",496,41,"Seed-feeding bird","None",0.00487557831596601,1,"I"
"E","Crop damage",496,56,"Seed-feeding bird","None",0.00093646778629835,1,"I"
"E","Crop damage",496,57,"Seed-feeding bird","None",7.43228401824087e-05,1,"I"
"E","Crop damage",496,59,"Seed-feeding bird","None",0.00130808198721039,1,"I"
"E","Crop damage",496,72,"Seed-feeding bird","None",0.00215536236528985,1,"I"
"E","Crop damage",496,73,"Seed-feeding bird","None",0.00321074669588006,1,"I"
"E","Crop damage",496,85,"Seed-feeding bird","None",0.000193239384474263,1,"I"
"E","Crop damage",496,93,"Seed-feeding bird","Crop production",0.0234458224922364,1,"I"
"E","Crop damage",497,10,"Seed-feeding bird","None",0.00241800657301252,1,"I"
"E","Crop damage",497,13,"Seed-feeding bird","None",0.00248122243113049,1,"I"
"E","Crop damage",497,17,"Seed-feeding bird","None",0.00200710349524569,1,"I"
"E","Crop damage",497,24,"Seed-feeding bird","None",0.00382455941613745,1,"I"
"E","Crop damage",497,26,"Seed-feeding bird","None",0.0029711453315448,1,"I"
"E","Crop damage",497,31,"Seed-feeding bird","None",0.002465418466601,1,"I"
"E","Crop damage",497,41,"Seed-feeding bird","None",0.0051837003656739,1,"I"
"E","Crop damage",497,43,"Seed-feeding bird","None",0.00079019822647468,1,"I"
"E","Crop damage",497,56,"Seed-feeding bird","None",0.000995649765358096,1,"I"
"E","Crop damage",497,57,"Seed-feeding bird","None",7.9019822647468e-05,1,"I"
"E","Crop damage",497,59,"Seed-feeding bird","None",0.00139074887859544,1,"I"
"E","Crop damage",497,71,"Seed-feeding bird","None",0.000742786332886199,1,"I"
"E","Crop damage",497,72,"Seed-feeding bird","None",0.00229157485677657,1,"I"
"E","Crop damage",497,73,"Seed-feeding bird","None",0.00341365633837062,1,"I"
"E","Crop damage",497,85,"Seed-feeding bird","None",0.000205451538883417,1,"I"
"E","Crop damage",497,93,"Seed-feeding bird","Crop production",0.0249275287463926,1,"I"
"E","Crop damage",498,10,"Seed-feeding bird","None",0.00221509693052196,1,"I"
"E","Crop damage",498,13,"Seed-feeding bird","None",0.00227300796138528,1,"I"
"E","Crop damage",498,15,"Seed-feeding bird","None",0.000608065824064851,1,"I"
"E","Crop damage",498,17,"Seed-feeding bird","None",0.00183867522991038,1,"I"
"E","Crop damage",498,24,"Seed-feeding bird","None",0.00350361736723081,1,"I"
