"node_id","taxon","iteration","abun"
1,"Plant",1,56
2,"Plant",1,270
3,"Plant",1,72
4,"Plant",1,69.7693965517241
5,"Plant",1,785.883620689655
6,"Plant",1,16
7,"Plant",1,7515.8125
8,"Plant",1,24
9,"Plant",1,10
10,"Plant",1,65
11,"Plant",1,2108.01293103448
12,"Plant",1,375.245689655172
13,"Plant",1,268.765086206897
14,"Plant",1,15784.375
15,"Plant",1,30
16,"Plant",1,142.896551724138
17,"Plant",1,179.034482758621
18,"Plant",1,10
19,"Plant",1,864.726293103448
20,"Plant",1,382.5
21,"Plant",1,72
22,"Plant",1,66
23,"Plant",1,22.8879310344828
24,"Plant",1,14
25,"Plant",1,772
26,"Plant",1,62867.625
27,"Plant",1,50
28,"Plant",1,20731.5560344828
29,"Plant",1,4
30,"Plant",1,127.116379310345
31,"Plant",1,200
32,"Plant",1,387.375
33,"Plant",1,1215.64655172414
34,"Plant",1,15
36,"Plant",1,127.073275862069
37,"Plant",1,6
38,"Plant",1,1443.75
39,"Plant",1,10
40,"Plant",1,60
41,"Plant",1,58.0689655172414
42,"Plant",1,3
43,"Plant",1,3
44,"Plant",1,10740.9956896552
45,"Plant",1,164.599137931034
46,"Plant",1,40
47,"Plant",1,131.681034482759
48,"Plant",1,87.4655172413793
49,"Plant",1,220
51,"Plant",1,253.54525862069
52,"Plant",1,20
53,"Plant",1,168
54,"Plant",1,3420
56,"Plant",1,8
57,"Plant",1,346.965517241379
58,"Plant",1,40
59,"Plant",1,70.4870689655172
60,"Plant",1,35
61,"Plant",1,10298.8125
62,"Plant",1,71.1163793103448
63,"Plant",1,39
64,"Plant",1,1610
65,"Plant",1,12
66,"Plant",1,4
67,"Plant",1,293.928879310345
68,"Plant",1,279
69,"Plant",1,2
70,"Plant",1,150
71,"Plant",1,128
72,"Plant",1,311.489224137931
73,"Plant",1,138
74,"Plant",1,85
75,"Plant",1,56
76,"Plant",1,68.0495689655172
77,"Plant",1,1313.03017241379
78,"Plant",1,1501.36206896552
80,"Plant",1,610.387931034483
81,"Plant",1,3
82,"Plant",1,43.3577586206897
83,"Plant",1,3
84,"Plant",1,15
85,"Plant",1,371
86,"Plant",1,82.9030172413793
88,"Plant",1,10
90,"Plant",1,96
91,"Plant",1,167.353448275862
94,"Crop",1,9
95,"Crop",1,332.5
96,"Crop",1,12
97,"Crop",1,32.0431034482759
98,"Crop",1,37.7241379310345
99,"Crop",1,187.625
101,"Flower-visiting",1,535
102,"Flower-visiting",1,25
103,"Flower-visiting",1,288
104,"Flower-visiting",1,312
105,"Flower-visiting",1,411.077586206897
106,"Flower-visiting",1,50
108,"Flower-visiting",1,50
109,"Flower-visiting",1,302
111,"Flower-visiting",1,20
112,"Flower-visiting",1,12806.2284482759
113,"Flower-visiting",1,238
114,"Flower-visiting",1,1294
115,"Flower-visiting",1,25
116,"Flower-visiting",1,50
117,"Flower-visiting",1,10
118,"Flower-visiting",1,37
119,"Flower-visiting",1,50
122,"Flower-visiting",1,767
123,"Flower-visiting",1,8508.18103448276
124,"Flower-visiting",1,4557
125,"Flower-visiting",1,395
126,"Flower-visiting",1,5273.51724137931
127,"Flower-visiting",1,476
128,"Flower-visiting",1,434.594827586207
129,"Flower-visiting",1,1032
130,"Flower-visiting",1,50
131,"Flower-visiting",1,817.965517241379
132,"Flower-visiting",1,1538.67672413793
133,"Flower-visiting",1,20
134,"Flower-visiting",1,30
135,"Flower-visiting",1,3
138,"Flower-visiting",1,3216.48060344828
139,"Flower-visiting",1,185
140,"Flower-visiting",1,1060.99137931034
141,"Flower-visiting",1,402.181034482759
142,"Flower-visiting",1,424.396551724138
143,"Flower-visiting",1,401.120689655172
144,"Flower-visiting",1,427.301724137931
145,"Flower-visiting",1,25
147,"Flower-visiting",1,25
148,"Flower-visiting",1,25
149,"Flower-visiting",1,25
150,"Flower-visiting",1,676
151,"Flower-visiting",1,275
152,"Flower-visiting",1,9
154,"Flower-visiting",1,740
156,"Flower-visiting",1,4
158,"Flower-visiting",1,975.275862068965
159,"Flower-visiting",1,20
161,"Flower-visiting",1,20
162,"Flower-visiting",1,20
163,"Flower-visiting",1,9
164,"Flower-visiting",1,13996.375
165,"Flower-visiting",1,302
166,"Flower-visiting",1,431.228448275862
167,"Flower-visiting",1,9
169,"Flower-visiting",1,53
170,"Flower-visiting",1,395.689655172414
171,"Flower-visiting",1,818
173,"Flower-visiting",1,1683.4375
175,"Flower-visiting",1,25
178,"Flower-visiting",1,7
179,"Flower-visiting",1,20890.8448275862
181,"Flower-visiting",1,348
183,"Flower-visiting",1,653.125
184,"Flower-visiting",1,1645
185,"Flower-visiting",1,28
186,"Flower-visiting",1,1313.97413793103
187,"Flower-visiting",1,124
188,"Flower-visiting",1,311
189,"Flower-visiting",1,302
190,"Flower-visiting",1,1129.97629310345
193,"Flower-visiting",1,536.181034482759
194,"Flower-visiting",1,25
195,"Flower-visiting",1,759
196,"Flower-visiting",1,1991.26077586207
197,"Flower-visiting",1,476
198,"Flower-visiting",1,572.301724137931
199,"Flower-visiting",1,60
200,"Flower-visiting",1,740
201,"Flower-visiting",1,370
202,"Flower-visiting",1,447.900862068965
203,"Flower-visiting",1,458.375
205,"Flower-visiting",1,75
206,"Flower-visiting",1,3
207,"Flower-visiting",1,25
208,"Flower-visiting",1,740
209,"Flower-visiting",1,1559.5
210,"Flower-visiting",1,379
211,"Flower-visiting",1,302
212,"Flower-visiting",1,139
213,"Flower-visiting",1,238
214,"Flower-visiting",1,174
215,"Flower-visiting",1,176
217,"Flower-visiting",1,5177
219,"Flower-visiting",1,25
220,"Flower-visiting",1,7
221,"Flower-visiting",1,10
222,"Flower-visiting",1,713.98275862069
223,"Flower-visiting",1,372.413793103448
224,"Flower-visiting",1,608
225,"Flower-visiting",1,53
226,"Flower-visiting",1,3
227,"Flower-visiting",1,3
228,"Flower-visiting",1,474.900862068965
229,"Flower-visiting",1,20
230,"Flower-visiting",1,9
231,"Flower-visiting",1,1205
232,"Flower-visiting",1,2196.11853448276
233,"Flower-visiting",1,89
234,"Flower-visiting",1,10
235,"Flower-visiting",1,32
236,"Flower-visiting",1,238
237,"Flower-visiting",1,5084.22413793103
238,"Flower-visiting",1,7
240,"Flower-visiting",1,416
242,"Flower-visiting",1,25
243,"Flower-visiting",1,75
244,"Flower-visiting",1,2342.9375
