"node_id","taxon","iteration","abun"
1,"Plant",1,28
2,"Plant",1,162
3,"Plant",1,72
4,"Plant",1,80.1411637931034
5,"Plant",1,233.512931034483
6,"Plant",1,16
7,"Plant",1,322.256465517241
8,"Plant",1,31.2155172413793
10,"Plant",1,65
11,"Plant",1,1491.375
12,"Plant",1,280.060344827586
13,"Plant",1,138.1875
14,"Plant",1,10605.7219827586
15,"Plant",1,40
16,"Plant",1,186.103448275862
17,"Plant",1,167.844827586207
18,"Plant",1,10
19,"Plant",1,570.927801724138
20,"Plant",1,269.870689655172
21,"Plant",1,72
22,"Plant",1,44
23,"Plant",1,34.9137931034483
24,"Plant",1,15.7198275862069
25,"Plant",1,193
26,"Plant",1,36158.3297413793
27,"Plant",1,10
28,"Plant",1,12717.619612069
30,"Plant",1,78.7198275862069
32,"Plant",1,155.875
33,"Plant",1,758.625
36,"Plant",1,112.709051724138
37,"Plant",1,3
38,"Plant",1,1657.82327586207
39,"Plant",1,16.0129310344828
40,"Plant",1,60
41,"Plant",1,77.2068965517241
43,"Plant",1,3
44,"Plant",1,7719.39224137931
45,"Plant",1,93.375
46,"Plant",1,31.2284482758621
47,"Plant",1,95.3146551724138
48,"Plant",1,52.5
49,"Plant",1,107
50,"Plant",1,32
51,"Plant",1,205.709051724138
52,"Plant",1,30
53,"Plant",1,126
54,"Plant",1,760
56,"Plant",1,11.8275862068966
57,"Plant",1,447.237068965517
58,"Plant",1,10
59,"Plant",1,50.3125
60,"Plant",1,35
61,"Plant",1,8974.22629310345
62,"Plant",1,50.4181034482759
63,"Plant",1,39
64,"Plant",1,806.689655172414
66,"Plant",1,5.91379310344828
67,"Plant",1,216.9375
68,"Plant",1,279
69,"Plant",1,2
71,"Plant",1,32
72,"Plant",1,296.941810344828
74,"Plant",1,17
75,"Plant",1,40
76,"Plant",1,91.3739224137931
77,"Plant",1,1373.41163793103
78,"Plant",1,1199.24568965517
79,"Plant",1,2
80,"Plant",1,220.077586206897
81,"Plant",1,3
82,"Plant",1,53.7219827586207
84,"Plant",1,15
85,"Plant",1,159
86,"Plant",1,91.1411637931034
87,"Plant",1,2
90,"Plant",1,96
91,"Plant",1,129.278017241379
93,"Plant",1,10
94,"Crop",1,14.4116379310345
95,"Crop",1,518.060344827586
96,"Crop",1,19.2155172413793
97,"Crop",1,50.5991379310345
98,"Crop",1,58.9310344827586
99,"Crop",1,292.334051724138
101,"Flower-visiting",1,485
103,"Flower-visiting",1,75
105,"Flower-visiting",1,444.125
106,"Flower-visiting",1,50
108,"Flower-visiting",1,50
109,"Flower-visiting",1,302
112,"Flower-visiting",1,19153.4924568965
113,"Flower-visiting",1,238
114,"Flower-visiting",1,1294
115,"Flower-visiting",1,25
116,"Flower-visiting",1,50
119,"Flower-visiting",1,50
122,"Flower-visiting",1,767
123,"Flower-visiting",1,9343.49568965517
124,"Flower-visiting",1,3044
126,"Flower-visiting",1,6346.36206896552
127,"Flower-visiting",1,476
128,"Flower-visiting",1,471.685344827586
129,"Flower-visiting",1,978
131,"Flower-visiting",1,1232.75862068966
132,"Flower-visiting",1,1697.33405172414
138,"Flower-visiting",1,4035.12284482759
139,"Flower-visiting",1,185
140,"Flower-visiting",1,1068.75
141,"Flower-visiting",1,444.125
142,"Flower-visiting",1,449.612068965517
143,"Flower-visiting",1,427.5
144,"Flower-visiting",1,476.096982758621
147,"Flower-visiting",1,25
148,"Flower-visiting",1,25
149,"Flower-visiting",1,25
150,"Flower-visiting",1,302
151,"Flower-visiting",1,9
152,"Flower-visiting",1,9
157,"Flower-visiting",1,50
158,"Flower-visiting",1,427.5
160,"Flower-visiting",1,25
164,"Flower-visiting",1,14568.2047413793
165,"Flower-visiting",1,302
166,"Flower-visiting",1,467.096982758621
170,"Flower-visiting",1,427.5
171,"Flower-visiting",1,238
173,"Flower-visiting",1,1706.33405172414
175,"Flower-visiting",1,25
179,"Flower-visiting",1,26725.8189655172
181,"Flower-visiting",1,390.75
183,"Flower-visiting",1,542.096982758621
184,"Flower-visiting",1,1566
186,"Flower-visiting",1,1507.39224137931
188,"Flower-visiting",1,302
189,"Flower-visiting",1,302
190,"Flower-visiting",1,1180.14870689655
191,"Flower-visiting",1,25
193,"Flower-visiting",1,632.064655172414
195,"Flower-visiting",1,19
196,"Flower-visiting",1,3195.32219827586
197,"Flower-visiting",1,476
198,"Flower-visiting",1,590.096982758621
202,"Flower-visiting",1,658.933189655172
203,"Flower-visiting",1,471.685344827586
205,"Flower-visiting",1,75
208,"Flower-visiting",1,740
209,"Flower-visiting",1,460.706896551724
210,"Flower-visiting",1,9
211,"Flower-visiting",1,302
212,"Flower-visiting",1,139
213,"Flower-visiting",1,238
214,"Flower-visiting",1,149
215,"Flower-visiting",1,139
217,"Flower-visiting",1,5177
222,"Flower-visiting",1,729.5
223,"Flower-visiting",1,416.637931034483
224,"Flower-visiting",1,238
228,"Flower-visiting",1,476.096982758621
230,"Flower-visiting",1,9
231,"Flower-visiting",1,1205
232,"Flower-visiting",1,2369.73599137931
236,"Flower-visiting",1,238
237,"Flower-visiting",1,4992.04310344828
240,"Flower-visiting",1,416
242,"Flower-visiting",1,25
244,"Flower-visiting",1,3410.18857758621
246,"Flower-visiting",1,9
247,"Flower-visiting",1,848.685344827586
248,"Flower-visiting",1,1785.37931034483
249,"Flower-visiting",1,1725.25646551724
250,"Flower-visiting",1,425.25
252,"Flower-visiting",1,425.25
255,"Flower-visiting",1,1660.6875
258,"Flower-visiting",1,173
259,"Flower-visiting",1,22253.9924568966
261,"Flower-visiting",1,174
264,"Flower-visiting",1,942.148706896552
265,"Flower-visiting",1,302
266,"Flower-visiting",1,427.5
267,"Flower-visiting",1,416
270,"Flower-visiting",1,238
276,"Flower-visiting",1,1909.95043103448
277,"Flower-visiting",1,327
278,"Flower-visiting",1,471.685344827586
279,"Flower-visiting",1,482.084051724138
282,"Flower-visiting",1,471.685344827586
283,"Flower-visiting",1,9
284,"Flower-visiting",1,1255
285,"Flower-visiting",1,951.25
286,"Flower-visiting",1,460.706896551724
287,"Flower-visiting",1,238
291,"Flower-visiting",1,238
294,"Flower-visiting",1,224
295,"Flower-visiting",1,1917.62284482759
296,"Flower-visiting",1,50
297,"Flower-visiting",1,3698
298,"Flower-visiting",1,740
299,"Flower-visiting",1,238
300,"Flower-visiting",1,302
301,"Flower-visiting",1,406.92025862069
302,"Flower-visiting",1,1932.25
303,"Flower-visiting",1,8220.38362068965
304,"Flower-visiting",1,526.5
305,"Flower-visiting",1,238
306,"Flower-visiting",1,476
308,"Flower-visiting",1,1230.07974137931
313,"Flower-visiting",1,1780
314,"Flower-visiting",1,1205
315,"Flower-visiting",1,302
317,"Flower-visiting",1,4974.38038793103
318,"Flower-visiting",1,5076.0161637931
319,"Flower-visiting",1,50
320,"Flower-visiting",1,1205
322,"Flower-visiting",1,1011.75215517241
323,"Flower-visiting",1,9
326,"Flower-visiting",1,444.125
327,"Flower-visiting",1,2457
328,"Flower-visiting",1,50
335,"Flower-visiting",1,9
337,"Aphid",1,587272
339,"Aphid",1,726
341,"Aphid",1,18924317.6012931
343,"Aphid",1,422079077.741379
344,"Aphid",1,396962.900862069
345,"Aphid",1,752578
348,"Aphid",1,2563576.64116379
349,"Aphid",1,2387097.0625
350,"Aphid",1,78775
351,"Aphid",1,1196155.67887931
352,"Aphid",1,142479
354,"Aphid",1,241603.139008621
355,"Aphid",1,194926
356,"Aphid",1,547
357,"Aphid",1,1356808.35344828
358,"Aphid",1,90978097.6724138
360,"Aphid",1,120988
361,"Aphid",1,1920198.125
362,"Aphid",1,96691229
363,"Aphid",1,70156956.7553879
364,"Aphid",1,645272
365,"Primary aphid parasitoid",1,376340.950431034
366,"Primary aphid parasitoid",1,552
367,"Primary aphid parasitoid",1,46657.5204741379
368,"Primary aphid parasitoid",1,138213.58512931
369,"Primary aphid parasitoid",1,185982.745689655
370,"Primary aphid parasitoid",1,200644.353448276
371,"Primary aphid parasitoid",1,6722
372,"Primary aphid parasitoid",1,15852.6465517241
373,"Primary aphid parasitoid",1,12326
374,"Primary aphid parasitoid",1,242929.596982759
375,"Primary aphid parasitoid",1,1657
376,"Secondary aphid parasitoid",1,435334.89762931
377,"Secondary aphid parasitoid",1,647218.663793103
378,"Secondary aphid parasitoid",1,127322.780172414
379,"Secondary aphid parasitoid",1,73
380,"Secondary aphid parasitoid",1,77799.2801724138
381,"Secondary aphid parasitoid",1,754510.503232759
382,"Secondary aphid parasitoid",1,552
383,"Leaf-miner parasitoid",1,11295
389,"Leaf-miner parasitoid",1,13916.6670258621
390,"Leaf-miner parasitoid",1,15733.9547413793
391,"Leaf-miner parasitoid",1,18489
394,"Leaf-miner parasitoid",1,8217.90948275862
396,"Leaf-miner parasitoid",1,17846
397,"Leaf-miner parasitoid",1,10792.9547413793
398,"Leaf-miner parasitoid",1,3314
401,"Leaf-miner parasitoid",1,43636.0452586207
402,"Leaf-miner parasitoid",1,6391
404,"Leaf-miner parasitoid",1,7924
407,"Leaf-miner parasitoid",1,1542
410,"Leaf-miner parasitoid",1,36033.4267241379
411,"Leaf-miner parasitoid",1,89886
412,"Leaf-miner parasitoid",1,28554.3760775862
413,"Leaf-miner parasitoid",1,552
414,"Leaf-miner parasitoid",1,3314
415,"Leaf-miner parasitoid",1,236613.5
417,"Leaf-miner parasitoid",1,32987.182112069
419,"Leaf-miner parasitoid",1,4752.375
421,"Leaf-miner parasitoid",1,48912.5290948276
422,"Leaf-miner parasitoid",1,84592.5441810345
423,"Leaf-miner parasitoid",1,3599
425,"Leaf-miner parasitoid",1,103529.869612069
426,"Leaf-miner parasitoid",1,81720.9547413793
429,"Leaf-miner parasitoid",1,6408.375
430,"Leaf-miner parasitoid",1,19023.9547413793
433,"Leaf-miner parasitoid",1,135089.497844828
435,"Leaf-miner parasitoid",1,136505.50862069
436,"Leaf-miner parasitoid",1,7712
437,"Leaf-miner parasitoid",1,69858.1077586207
438,"Leaf-miner parasitoid",1,297096.484913793
439,"Leaf-miner parasitoid",1,370119.717672414
440,"Leaf-miner parasitoid",1,19009.5
441,"Leaf-miner parasitoid",1,19154.8318965517
445,"Leaf-miner parasitoid",1,1821624.8674569
446,"Leaf-miner parasitoid",1,1542
447,"Leaf-miner parasitoid",1,75273.2855603448
449,"Leaf-miner parasitoid",1,829
451,"Leaf-miner parasitoid",1,1542
452,"Leaf-miner parasitoid",1,3199
454,"Leaf-miner parasitoid",1,1542
455,"Leaf-miner parasitoid",1,35227.9331896552
456,"Leaf-miner parasitoid",1,1657
457,"Leaf-miner parasitoid",1,149607.75
458,"Leaf-miner parasitoid",1,7050.9375
459,"Leaf-miner parasitoid",1,106259
461,"Leaf-miner parasitoid",1,25528
463,"Leaf-miner parasitoid",1,21073.0172413793
464,"Leaf-miner parasitoid",1,13385
465,"Leaf-miner parasitoid",1,13052.786637931
466,"Leaf-miner parasitoid",1,1657
467,"Leaf-miner parasitoid",1,92265.9267241379
468,"Leaf-miner parasitoid",1,1657
469,"Leaf-miner parasitoid",1,82836.6670258621
470,"Leaf-miner parasitoid",1,835020.598060345
471,"Leaf-miner parasitoid",1,132252.684267241
477,"Seed-feeding insect",1,1105
478,"Seed-feeding insect",1,65740
479,"Seed-feeding insect",1,552
480,"Seed-feeding insect",1,552
481,"Seed-feeding insect",1,12150
482,"Seed-feeding insect",1,153537.728448276
483,"Seed-feeding insect",1,397483.017241379
484,"Seed-feeding insect",1,1362730
485,"Seed-feeding insect",1,8218
486,"Seed-feeding insect",1,1316874.21551724
487,"Seed-feeding insect",1,552
488,"Seed-feeding insect",1,552
489,"Seed-feeding insect",1,552
490,"Seed-feeding insect",1,552
491,"Seed-feeding insect",1,292
492,"Seed-feeding insect",1,45202
493,"Seed-feeding insect",1,11113
494,"Seed-feeding insect",1,91751
495,"Seed-feeding bird",1,50.8706896551724
496,"Seed-feeding bird",1,359.604525862069
497,"Seed-feeding bird",1,42.3922413793103
498,"Seed-feeding bird",1,1130.27693965517
499,"Seed-feeding bird",1,118.931034482759
500,"Seed-feeding bird",1,332.287715517241
501,"Seed-feeding bird",1,530.528017241379
502,"Seed-feeding bird",1,127.177801724138
503,"Seed-feeding bird",1,135.720905172414
504,"Seed-feeding bird",1,145.949353448276
505,"Seed-feeding bird",1,60
506,"Seed-feeding bird",1,2
507,"Seed-feeding rodent",1,38
508,"Seed-feeding rodent",1,1725.23599137931
509,"Seed-feeding rodent",1,20
510,"Seed-feeding rodent",1,1035
512,"Butterfly",1,61
513,"Butterfly",1,423.366379310345
514,"Butterfly",1,318.730603448276
515,"Butterfly",1,65
516,"Butterfly",1,241.684267241379
517,"Butterfly",1,5250.42780172414
519,"Butterfly",1,285.738146551724
520,"Butterfly",1,8
521,"Butterfly",1,18
522,"Butterfly",1,72.3512931034483
523,"Butterfly",1,179.693965517241
524,"Butterfly",1,74.0625
525,"Butterfly",1,491.379310344828
527,"Insect seed-feeder parasitoid",1,1105
528,"Insect seed-feeder parasitoid",1,1105
529,"Insect seed-feeder parasitoid",1,552
530,"Insect seed-feeder parasitoid",1,2057
531,"Insect seed-feeder parasitoid",1,3314
532,"Insect seed-feeder parasitoid",1,552
533,"Insect seed-feeder parasitoid",1,552
534,"Insect seed-feeder parasitoid",1,404928.41487069
537,"Insect seed-feeder parasitoid",1,1167
538,"Insect seed-feeder parasitoid",1,1105
539,"Insect seed-feeder parasitoid",1,1657
540,"Insect seed-feeder parasitoid",1,46787.4148706897
541,"Insect seed-feeder parasitoid",1,2209
542,"Insect seed-feeder parasitoid",1,92458
543,"Insect seed-feeder parasitoid",1,76075
544,"Rodent ectoparasite",1,138
545,"Rodent ectoparasite",1,78
546,"Rodent ectoparasite",1,6
547,"Rodent ectoparasite",1,6
548,"Rodent ectoparasite",1,14
549,"Rodent ectoparasite",1,3
550,"Rodent ectoparasite",1,13
1,"Plant",2,56
2,"Plant",2,270
3,"Plant",2,72
4,"Plant",2,76.8696120689655
5,"Plant",2,237.306034482759
6,"Plant",2,16
7,"Plant",2,1015.94288793103
8,"Plant",2,19.2155172413793
10,"Plant",2,26
11,"Plant",2,1885.82327586207
12,"Plant",2,114.530172413793
13,"Plant",2,105.1875
14,"Plant",2,9736.27155172414
15,"Plant",2,30
16,"Plant",2,188.637931034483
17,"Plant",2,223.603448275862
18,"Plant",2,10
19,"Plant",2,365.385775862069
20,"Plant",2,262.5
22,"Plant",2,44
23,"Plant",2,33.6206896551724
24,"Plant",2,22.4181034482759
26,"Plant",2,36158.3297413793
27,"Plant",2,40
28,"Plant",2,17032.7575431034
29,"Plant",2,4
30,"Plant",2,57.4181034482759
31,"Plant",2,200
32,"Plant",2,212.625
33,"Plant",2,1118.7025862069
34,"Plant",2,15
36,"Plant",2,130.881465517241
38,"Plant",2,1126.0775862069
39,"Plant",2,16.2284482758621
40,"Plant",2,30
41,"Plant",2,58
43,"Plant",2,3
44,"Plant",2,5439.78017241379
45,"Plant",2,156.258620689655
46,"Plant",2,56.0129310344828
47,"Plant",2,95.2306034482759
48,"Plant",2,74.4310344827586
49,"Plant",2,213
51,"Plant",2,51.5441810344828
52,"Plant",2,40
53,"Plant",2,126
54,"Plant",2,1900
56,"Plant",2,11.8275862068966
57,"Plant",2,322.407327586207
58,"Plant",2,20
59,"Plant",2,51.7252155172414
60,"Plant",2,35
61,"Plant",2,6087.91271551724
62,"Plant",2,43.7198275862069
63,"Plant",2,39
64,"Plant",2,806.689655172414
65,"Plant",2,12
66,"Plant",2,5.91379310344828
67,"Plant",2,306.102370689655
68,"Plant",2,279
69,"Plant",2,2
72,"Plant",2,296.679956896552
73,"Plant",2,92
74,"Plant",2,85
76,"Plant",2,76.5193965517241
77,"Plant",2,997.254310344828
78,"Plant",2,650.866379310345
80,"Plant",2,330.75
81,"Plant",2,3
82,"Plant",2,57.2747844827586
83,"Plant",2,3
84,"Plant",2,30
85,"Plant",2,159
86,"Plant",2,72.1875
89,"Plant",2,9
90,"Plant",2,48
91,"Plant",2,158.469827586207
92,"Plant",2,3
94,"Crop",2,14.4116379310345
95,"Crop",2,518.060344827586
96,"Crop",2,19.2155172413793
97,"Crop",2,50.5991379310345
