"iteration","chisqr_man","chisqr_ser","pval_man","pval_ser"
"1",584.841979991962,445.443768878377,2.95575770331247e-125,4.69364466235583e-93
"2",762.736493291003,707.306659886297,9.04392033917641e-164,1.61767710879867e-149
"3",568.960252287289,158.143807111911,8.08028882528031e-122,1.46388396649841e-31
"4",754.789303375348,513.439095621314,4.75915951617846e-162,1.07001102725677e-107
"5",735.540596449084,508.976555183903,7.01689225071357e-158,9.79183185898263e-107
"10",797.206680021788,830.222768942839,3.09312929786597e-171,4.53741034832233e-176
"11",589.807278899599,356.586124198051,2.48958524013334e-126,5.94863677902037e-74
"12",759.761168696958,935.819400183264,3.98792764454645e-163,6.76939154164978e-199
"13",1543.8321530109,2010.03691420203,0,0
"14",690.981481994906,505.524480245258,3.12585817794607e-148,5.42731000086201e-106
"15",922.361307967517,963.448823874417,2.38011848403555e-198,7.17986849657475e-205
"16",1015.79073712682,768.044186762587,1.35043146077937e-218,1.233866438447e-162
"17",965.262682821693,817.204167396904,1.20333367078025e-207,2.95166226429154e-173
"18",1104.02467536792,1086.64505491742,1.01583371290798e-237,1.61699440828824e-231
"19",757.353666098609,613.993695201968,1.32481452337132e-162,2.23372780664782e-129
"20",754.125485819762,777.021096960505,6.62666939005243e-162,1.41913577253682e-164
"21",660.728282541976,332.503669564889,1.10912868270967e-141,8.7795621727294e-69
"22",599.90519645985,416.629333279073,1.62457532748765e-128,7.42453085390699e-87
"23",586.555904932353,421.796070884186,1.25823367893035e-125,5.74619685845063e-88
"24",993.084770379421,1297.71729072305,1.12515450876708e-213,3.37971141708101e-277
"25",614.215100881501,411.37144681889,1.2989362408571e-131,1.00328991326476e-85
"26",758.728611040572,743.643631934237,6.67383148105349e-163,2.3004502104547e-157
"27",800.909317487377,628.250176751556,4.87964196156829e-172,1.8756328469342e-132
"28",575.631298917975,459.512818851789,2.90986175361999e-123,4.39890831381778e-96
"29",772.211819309687,707.941340121043,8.01980498995884e-166,1.17991202931862e-149
"30",1726.60800122962,1910.47845829985,0,0
"31",704.081096710039,664.696334835482,4.55572008656639e-151,2.55737771435885e-140
"32",863.248991933916,931.425102200996,1.527475501806e-185,6.03503596818725e-198
"33",675.545166670874,642.137592055649,6.87288654973254e-145,1.89001418872209e-135
"34",940.640587497087,920.402951230182,2.60500065942892e-202,1.45811574311551e-195
"35",729.033529121388,477.254602266187,1.80006376988123e-156,6.6608560312605e-100
"36",880.927866470418,1087.78417254383,2.25860116010446e-189,9.16770540622536e-232
"37",1101.04941862913,1458.02685913849,4.48457785147766e-237,6.59360343181909e-312
"38",991.05088113157,1191.62701900088,3.10439535560892e-213,3.10548256073334e-254
"39",660.720816500471,482.259560242161,1.11326427907693e-141,5.56853428870707e-101
"40",1145.39909916804,1240.92814626061,1.09252236482495e-246,6.63254191672932e-265
"41",878.680144219555,589.920757180377,6.93137208481932e-189,3.48158745653486e-124
"42",792.438947664604,942.002888239504,3.33502753408288e-170,3.11551939225122e-200
"43",665.200827661287,542.509950576316,1.19316958791017e-142,5.81284251415026e-114
"44",936.66245660341,707.609312186863,1.89588197606709e-201,1.39168921619968e-149
