"contrast","estimate","p.value","iteration"
"E - I",0.224311714063971,2.73570184563532e-05,1
"E - M",0.115776785936874,0.0659829168113609,1
"E - SE",0.0560871513641859,0.678272203580806,1
"E - SI",0.271566749600233,9.04148088620715e-08,1
"I - M",-0.108534928127098,0.156749198389334,1
"I - SE",-0.168224562699785,0.00372322668629266,1
"I - SI",0.047255035536262,0.864793816427009,1
"M - SE",-0.0596896345726879,0.661861586555175,1
"M - SI",0.15578996366336,0.00906768578453443,1
"SE - SI",0.215479598236047,4.51261987508556e-05,1
"E - I",0.238207689321493,1.64899280850062e-05,2
"E - M",0.118176075322535,0.0798331031684305,2
"E - SE",0.0822926620968337,0.348800415609511,2
"E - SI",0.301905153161122,7.69933405919687e-09,2
"I - M",-0.120031613998958,0.113407733674416,2
"I - SE",-0.15591502722466,0.0129752616039337,2
"I - SI",0.0636974638396287,0.703315988626789,2
"M - SE",-0.0358834132257011,0.938100757814211,2
"M - SI",0.183729077838587,0.00181608211548046,2
"SE - SI",0.219612491064288,5.86631879603283e-05,2
"E - I",0.357389497197368,6.01563093782786e-08,3
"E - M",0.178999534957205,0.0104425542222036,3
"E - SE",0.114209384513676,0.19486723258324,3
"E - SI",0.409775720744046,1.13543952018347e-10,3
"I - M",-0.178389962240163,0.0273521817843599,3
"I - SE",-0.243180112683692,0.000500389302463211,3
"I - SI",0.0523862235466776,0.909634700566591,3
"M - SE",-0.0647901504435283,0.761531232729702,3
"M - SI",0.230776185786841,0.00106294923484584,3
"SE - SI",0.295566336230369,5.66427180337392e-06,3
"E - I",0.362251286981428,3.00838010058868e-09,4
"E - M",0.151743381011127,0.0288537664664505,4
"E - SE",0.0994191410814063,0.277385174347454,4
"E - SI",0.398298643266558,1.37079236850468e-11,4
"I - M",-0.210507905970302,0.00203189089948852,4
"I - SE",-0.262832145900022,3.19826358073927e-05,4
"I - SI",0.0360473562851296,0.969577907962622,4
"M - SE",-0.0523242399297203,0.851294321975357,4
"M - SI",0.246555262255431,9.39640332704439e-05,4
"SE - SI",0.298879502185152,6.17810109293515e-07,4
"E - I",0.228727956592877,0.00015047859949946,5
"E - M",0.0879438067009357,0.35551639696639,5
"E - SE",0.0499196679954759,0.814527653388046,5
"E - SI",0.312656216795548,1.99244102327967e-08,5
"I - M",-0.140784149891941,0.0647902273774003,5
"I - SE",-0.178808288597401,0.00609208941766382,5
"I - SI",0.0839282602026707,0.516328305703141,5
"M - SE",-0.0380241387054598,0.934292399544547,5
"M - SI",0.224712410094612,0.000201395952196703,5
"SE - SI",0.262736548800072,4.02260312537539e-06,5
"E - I",0.245863114115818,2.69928745504355e-05,6
"E - M",0.132847788029197,0.0397831801012865,6
"E - SE",0.064335080826391,0.616719336715798,6
"E - SI",0.289824567642844,1.25467915945698e-07,6
"I - M",-0.113015326086622,0.195131786241252,6
"I - SE",-0.181528033289427,0.00434101041570489,6
"I - SI",0.0439614535270255,0.919958218586367,6
"M - SE",-0.0685127072028055,0.597552862717894,6
"M - SI",0.156976779613647,0.0176526741744026,6
"SE - SI",0.225489486816453,7.93399949715612e-05,6
"E - I",0.261849068816259,1.00820561321768e-06,7
"E - M",0.116611714863983,0.0758506890624647,7
"E - SE",0.0730042386151742,0.45815398237782,7
"E - SI",0.282163102507427,4.2653011678162e-08,7
"I - M",-0.145237353952276,0.0262945326762953,7
"I - SE",-0.188844830201085,0.000981984976756278,7
"I - SI",0.0203140336911672,0.993987906114001,7
"M - SE",-0.0436074762488087,0.873371513914413,7
"M - SI",0.165551387643444,0.00542530849631129,7
"SE - SI",0.209158863892252,0.000109950030526274,7
"E - I",0.204643732146897,6.20637225315912e-05,8
"E - M",0.134032410031413,0.0150408576007984,8
"E - SE",0.0833099210688902,0.256559882247739,8
"E - SI",0.26402492095689,4.79891468785354e-08,8
"I - M",-0.0706113221154833,0.520292598717111,8
"I - SE",-0.121333811078007,0.0513141944782285,8
