"species_rem","degree","iteration","habitat_from","management"
86,4,1,"LP","I"
166,1,1,"LP","I"
503,25,1,"LP","I"
44,23,1,"LP","I"
471,2,1,"LP","I"
486,3,1,"LP","I"
358,15,1,"LP","I"
343,7,1,"LP","I"
67,11,1,"LP","I"
14,37,1,"LP","I"
190,2,1,"LP","I"
46,5,1,"LP","I"
224,1,1,"LP","I"
78,12,1,"LP","I"
505,16,1,"LP","I"
500,29,1,"LP","I"
517,3,1,"LP","I"
304,1,1,"LP","I"
8,6,1,"LP","I"
264,1,1,"LP","I"
525,4,2,"LP","I"
78,12,2,"LP","I"
278,1,2,"LP","I"
357,1,2,"LP","I"
439,1,2,"LP","I"
76,7,2,"LP","I"
105,1,2,"LP","I"
522,2,2,"LP","I"
138,3,2,"LP","I"
203,1,2,"LP","I"
495,14,2,"LP","I"
131,1,2,"LP","I"
8,6,2,"LP","I"
505,16,2,"LP","I"
486,3,2,"LP","I"
202,1,2,"LP","I"
437,1,2,"LP","I"
498,32,2,"LP","I"
166,1,2,"LP","I"
222,1,2,"LP","I"
515,2,3,"LP","I"
72,9,3,"LP","I"
46,5,3,"LP","I"
458,1,3,"LP","I"
266,1,3,"LP","I"
69,1,3,"LP","I"
314,1,3,"LP","I"
237,1,3,"LP","I"
327,1,3,"LP","I"
54,8,3,"LP","I"
505,16,3,"LP","I"
376,3,3,"LP","I"
354,2,3,"LP","I"
397,1,3,"LP","I"
437,1,3,"LP","I"
285,1,3,"LP","I"
425,4,3,"LP","I"
401,1,3,"LP","I"
56,7,3,"LP","I"
467,4,3,"LP","I"
56,7,4,"LP","I"
482,3,4,"LP","I"
141,1,4,"LP","I"
164,4,4,"LP","I"
484,2,4,"LP","I"
270,1,4,"LP","I"
430,1,4,"LP","I"
64,15,4,"LP","I"
467,4,4,"LP","I"
170,1,4,"LP","I"
51,3,4,"LP","I"
247,1,4,"LP","I"
498,32,4,"LP","I"
322,1,4,"LP","I"
365,2,4,"LP","I"
181,1,4,"LP","I"
138,3,4,"LP","I"
305,1,4,"LP","I"
516,3,4,"LP","I"
469,4,4,"LP","I"
78,12,5,"LP","I"
279,1,5,"LP","I"
232,3,5,"LP","I"
270,1,5,"LP","I"
458,1,5,"LP","I"
264,1,5,"LP","I"
495,14,5,"LP","I"
249,2,5,"LP","I"
28,33,5,"LP","I"
46,5,5,"LP","I"
228,1,5,"LP","I"
164,4,5,"LP","I"
314,1,5,"LP","I"
36,5,5,"LP","I"
361,4,5,"LP","I"
445,11,5,"LP","I"
143,1,5,"LP","I"
306,1,5,"LP","I"
61,39,5,"LP","I"
369,1,5,"LP","I"
374,2,6,"LP","I"
372,1,6,"LP","I"
357,1,6,"LP","I"
8,6,6,"LP","I"
369,1,6,"LP","I"
522,2,6,"LP","I"
129,1,6,"LP","I"
435,3,6,"LP","I"
438,7,6,"LP","I"
38,6,6,"LP","I"
101,2,6,"LP","I"
376,3,6,"LP","I"
16,8,6,"LP","I"
455,3,6,"LP","I"
270,1,6,"LP","I"
495,14,6,"LP","I"
365,2,6,"LP","I"
32,11,6,"LP","I"
158,1,6,"LP","I"
318,2,6,"LP","I"
415,1,7,"LP","I"
62,8,7,"LP","I"
467,4,7,"LP","I"
435,3,7,"LP","I"
513,2,7,"LP","I"
59,5,7,"LP","I"
76,7,7,"LP","I"
514,3,7,"LP","I"
285,1,7,"LP","I"
144,1,7,"LP","I"
