"species_rem","degree","iteration","habitat_from","management"
14,37,1,"LP","I"
77,20,1,"LP","I"
46,5,1,"LP","I"
7,10,1,"LP","I"
61,39,1,"LP","I"
72,9,1,"LP","I"
44,23,1,"LP","I"
59,5,1,"LP","I"
32,11,1,"LP","I"
54,8,1,"LP","I"
14,37,1,"LP","I"
78,12,1,"LP","I"
56,7,1,"LP","I"
24,5,1,"LP","I"
64,15,1,"LP","I"
33,13,1,"LP","I"
11,32,1,"LP","I"
61,39,1,"LP","I"
26,62,1,"LP","I"
51,3,1,"LP","I"
5,7,2,"LP","I"
32,11,2,"LP","I"
60,5,2,"LP","I"
47,11,2,"LP","I"
80,6,2,"LP","I"
26,62,2,"LP","I"
26,62,2,"LP","I"
19,11,2,"LP","I"
38,6,2,"LP","I"
51,3,2,"LP","I"
61,39,2,"LP","I"
19,11,2,"LP","I"
67,11,2,"LP","I"
44,23,2,"LP","I"
39,1,2,"LP","I"
11,32,2,"LP","I"
45,8,2,"LP","I"
36,5,2,"LP","I"
57,12,2,"LP","I"
82,1,2,"LP","I"
30,3,3,"LP","I"
44,23,3,"LP","I"
57,12,3,"LP","I"
41,2,3,"LP","I"
36,5,3,"LP","I"
11,32,3,"LP","I"
86,4,3,"LP","I"
38,6,3,"LP","I"
46,5,3,"LP","I"
19,11,3,"LP","I"
14,37,3,"LP","I"
16,8,3,"LP","I"
48,6,3,"LP","I"
26,62,3,"LP","I"
72,9,3,"LP","I"
26,62,3,"LP","I"
72,9,3,"LP","I"
51,3,3,"LP","I"
57,12,3,"LP","I"
24,5,3,"LP","I"
4,11,4,"LP","I"
77,20,4,"LP","I"
77,20,4,"LP","I"
30,3,4,"LP","I"
24,5,4,"LP","I"
81,2,4,"LP","I"
80,6,4,"LP","I"
61,39,4,"LP","I"
12,11,4,"LP","I"
19,11,4,"LP","I"
41,2,4,"LP","I"
91,9,4,"LP","I"
45,8,4,"LP","I"
36,5,4,"LP","I"
17,6,4,"LP","I"
16,8,4,"LP","I"
54,8,4,"LP","I"
7,10,4,"LP","I"
59,5,4,"LP","I"
56,7,4,"LP","I"
26,62,5,"LP","I"
78,12,5,"LP","I"
24,5,5,"LP","I"
28,33,5,"LP","I"
32,11,5,"LP","I"
76,7,5,"LP","I"
45,8,5,"LP","I"
59,5,5,"LP","I"
20,8,5,"LP","I"
11,32,5,"LP","I"
72,9,5,"LP","I"
81,2,5,"LP","I"
47,11,5,"LP","I"
86,4,5,"LP","I"
61,39,5,"LP","I"
56,7,5,"LP","I"
69,1,5,"LP","I"
19,11,5,"LP","I"
39,1,5,"LP","I"
91,9,5,"LP","I"
77,20,6,"LP","I"
41,2,6,"LP","I"
24,5,6,"LP","I"
16,8,6,"LP","I"
38,6,6,"LP","I"
61,39,6,"LP","I"
51,3,6,"LP","I"
7,10,6,"LP","I"
14,37,6,"LP","I"
38,6,6,"LP","I"
62,8,6,"LP","I"
8,6,6,"LP","I"
33,13,6,"LP","I"
17,6,6,"LP","I"
45,8,6,"LP","I"
72,9,6,"LP","I"
56,7,6,"LP","I"
28,33,6,"LP","I"
32,11,6,"LP","I"
48,6,6,"LP","I"
12,11,7,"LP","I"
80,6,7,"LP","I"
72,9,7,"LP","I"
45,8,7,"LP","I"
41,2,7,"LP","I"
33,13,7,"LP","I"
78,12,7,"LP","I"
20,8,7,"LP","I"
33,13,7,"LP","I"
51,3,7,"LP","I"
36,5,7,"LP","I"
41,2,7,"LP","I"
4,11,7,"LP","I"
8,6,7,"LP","I"
86,4,7,"LP","I"
11,32,7,"LP","I"
62,8,7,"LP","I"
48,6,7,"LP","I"
76,7,7,"LP","I"
24,5,7,"LP","I"
61,39,8,"LP","I"
38,6,8,"LP","I"
30,3,8,"LP","I"
57,12,8,"LP","I"
4,11,8,"LP","I"
82,1,8,"LP","I"
77,20,8,"LP","I"
48,6,8,"LP","I"
62,8,8,"LP","I"
76,7,8,"LP","I"
64,15,8,"LP","I"
86,4,8,"LP","I"
30,3,8,"LP","I"
14,37,8,"LP","I"
19,11,8,"LP","I"
56,7,8,"LP","I"
12,11,8,"LP","I"
17,6,8,"LP","I"
5,7,8,"LP","I"
32,11,8,"LP","I"
14,37,9,"LP","I"
66,1,9,"LP","I"
47,11,9,"LP","I"
38,6,9,"LP","I"
47,11,9,"LP","I"
16,8,9,"LP","I"
38,6,9,"LP","I"
61,39,9,"LP","I"
41,2,9,"LP","I"
23,8,9,"LP","I"
44,23,9,"LP","I"
24,5,9,"LP","I"
86,4,9,"LP","I"
26,62,9,"LP","I"
67,11,9,"LP","I"
17,6,9,"LP","I"
78,12,9,"LP","I"
36,5,9,"LP","I"
30,3,9,"LP","I"
19,11,9,"LP","I"
5,7,10,"LP","I"
17,6,10,"LP","I"
30,3,10,"LP","I"
47,11,10,"LP","I"
32,11,10,"LP","I"
39,1,10,"LP","I"
77,20,10,"LP","I"
76,7,10,"LP","I"
32,11,10,"LP","I"
66,1,10,"LP","I"
16,8,10,"LP","I"
30,3,10,"LP","I"
20,8,10,"LP","I"
4,11,10,"LP","I"
91,9,10,"LP","I"
60,5,10,"LP","I"
64,15,10,"LP","I"
38,6,10,"LP","I"
57,12,10,"LP","I"
61,39,10,"LP","I"
86,4,11,"LP","I"
41,2,11,"LP","I"
72,9,11,"LP","I"
16,8,11,"LP","I"
32,11,11,"LP","I"
46,5,11,"LP","I"
30,3,11,"LP","I"
81,2,11,"LP","I"
60,5,11,"LP","I"
17,6,11,"LP","I"
91,9,11,"LP","I"
28,33,11,"LP","I"
33,13,11,"LP","I"
77,20,11,"LP","I"
4,11,11,"LP","I"
14,37,11,"LP","I"
44,23,11,"LP","I"
77,20,11,"LP","I"
24,5,11,"LP","I"
67,11,11,"LP","I"
61,39,12,"LP","I"
20,8,12,"LP","I"
72,9,12,"LP","I"
30,3,12,"LP","I"
60,5,12,"LP","I"
61,39,12,"LP","I"
17,6,12,"LP","I"
16,8,12,"LP","I"
33,13,12,"LP","I"
26,62,12,"LP","I"
30,3,12,"LP","I"
82,1,12,"LP","I"
8,6,12,"LP","I"
80,6,12,"LP","I"
54,8,12,"LP","I"
38,6,12,"LP","I"
7,10,12,"LP","I"
47,11,12,"LP","I"
36,5,12,"LP","I"
26,62,12,"LP","I"
17,6,13,"LP","I"
44,23,13,"LP","I"
57,12,13,"LP","I"
78,12,13,"LP","I"
33,13,13,"LP","I"
5,7,13,"LP","I"
16,8,13,"LP","I"
81,2,13,"LP","I"
62,8,13,"LP","I"
20,8,13,"LP","I"
80,6,13,"LP","I"
8,6,13,"LP","I"
77,20,13,"LP","I"
24,5,13,"LP","I"
48,6,13,"LP","I"
33,13,13,"LP","I"
59,5,13,"LP","I"
39,1,13,"LP","I"
20,8,13,"LP","I"
38,6,13,"LP","I"
77,20,14,"LP","I"
72,9,14,"LP","I"
54,8,14,"LP","I"
16,8,14,"LP","I"
17,6,14,"LP","I"
32,11,14,"LP","I"
80,6,14,"LP","I"
60,5,14,"LP","I"
51,3,14,"LP","I"
91,9,14,"LP","I"
59,5,14,"LP","I"
11,32,14,"LP","I"
20,8,14,"LP","I"
45,8,14,"LP","I"
19,11,14,"LP","I"
76,7,14,"LP","I"
5,7,14,"LP","I"
30,3,14,"LP","I"
8,6,14,"LP","I"
61,39,14,"LP","I"
77,20,15,"LP","I"
78,12,15,"LP","I"
26,62,15,"LP","I"
24,5,15,"LP","I"
45,8,15,"LP","I"
32,11,15,"LP","I"
62,8,15,"LP","I"
69,1,15,"LP","I"
82,1,15,"LP","I"
38,6,15,"LP","I"
78,12,15,"LP","I"
47,11,15,"LP","I"
80,6,15,"LP","I"
48,6,15,"LP","I"
51,3,15,"LP","I"
60,5,15,"LP","I"
56,7,15,"LP","I"
11,32,15,"LP","I"
4,11,15,"LP","I"
14,37,15,"LP","I"
26,62,16,"LP","I"
16,8,16,"LP","I"
47,11,16,"LP","I"
59,5,16,"LP","I"
11,32,16,"LP","I"
39,1,16,"LP","I"
86,4,16,"LP","I"
30,3,16,"LP","I"
66,1,16,"LP","I"
81,2,16,"LP","I"
32,11,16,"LP","I"
19,11,16,"LP","I"
17,6,16,"LP","I"
48,6,16,"LP","I"
32,11,16,"LP","I"
14,37,16,"LP","I"
45,8,16,"LP","I"
91,9,16,"LP","I"
76,7,16,"LP","I"
14,37,16,"LP","I"
16,8,17,"LP","I"
28,33,17,"LP","I"
41,2,17,"LP","I"
7,10,17,"LP","I"
57,12,17,"LP","I"
67,11,17,"LP","I"
64,15,17,"LP","I"
76,7,17,"LP","I"
36,5,17,"LP","I"
45,8,17,"LP","I"
19,11,17,"LP","I"
41,2,17,"LP","I"
62,8,17,"LP","I"
78,12,17,"LP","I"
77,20,17,"LP","I"
72,9,17,"LP","I"
5,7,17,"LP","I"
51,3,17,"LP","I"
12,11,17,"LP","I"
86,4,17,"LP","I"
62,8,18,"LP","I"
62,8,18,"LP","I"
82,1,18,"LP","I"
54,8,18,"LP","I"
19,11,18,"LP","I"
24,5,18,"LP","I"
16,8,18,"LP","I"
60,5,18,"LP","I"
17,6,18,"LP","I"
61,39,18,"LP","I"
26,62,18,"LP","I"
41,2,18,"LP","I"
12,11,18,"LP","I"
36,5,18,"LP","I"
20,8,18,"LP","I"
48,6,18,"LP","I"
69,1,18,"LP","I"
77,20,18,"LP","I"
26,62,18,"LP","I"
11,32,18,"LP","I"
56,7,19,"LP","I"
4,11,19,"LP","I"
26,62,19,"LP","I"
17,6,19,"LP","I"
11,32,19,"LP","I"
48,6,19,"LP","I"
20,8,19,"LP","I"
14,37,19,"LP","I"
16,8,19,"LP","I"
60,5,19,"LP","I"
26,62,19,"LP","I"
57,12,19,"LP","I"
33,13,19,"LP","I"
28,33,19,"LP","I"
41,2,19,"LP","I"
20,8,19,"LP","I"
47,11,19,"LP","I"
24,5,19,"LP","I"
17,6,19,"LP","I"
38,6,19,"LP","I"
36,5,20,"LP","I"
28,33,20,"LP","I"
64,15,20,"LP","I"
62,8,20,"LP","I"
54,8,20,"LP","I"
30,3,20,"LP","I"
81,2,20,"LP","I"
62,8,20,"LP","I"
8,6,20,"LP","I"
17,6,20,"LP","I"
20,8,20,"LP","I"
51,3,20,"LP","I"
5,7,20,"LP","I"
44,23,20,"LP","I"
41,2,20,"LP","I"
46,5,20,"LP","I"
32,11,20,"LP","I"
23,8,20,"LP","I"
16,8,20,"LP","I"
41,2,20,"LP","I"
16,8,21,"LP","I"
72,9,21,"LP","I"
4,11,21,"LP","I"
61,39,21,"LP","I"
57,12,21,"LP","I"
86,4,21,"LP","I"
66,1,21,"LP","I"
14,37,21,"LP","I"
30,3,21,"LP","I"
48,6,21,"LP","I"
57,12,21,"LP","I"
56,7,21,"LP","I"
28,33,21,"LP","I"
30,3,21,"LP","I"
26,62,21,"LP","I"
47,11,21,"LP","I"
61,39,21,"LP","I"
41,2,21,"LP","I"
67,11,21,"LP","I"
46,5,21,"LP","I"
4,11,22,"LP","I"
64,15,22,"LP","I"
47,11,22,"LP","I"
91,9,22,"LP","I"
16,8,22,"LP","I"
41,2,22,"LP","I"
17,6,22,"LP","I"
59,5,22,"LP","I"
33,13,22,"LP","I"
26,62,22,"LP","I"
45,8,22,"LP","I"
23,8,22,"LP","I"
44,23,22,"LP","I"
28,33,22,"LP","I"
30,3,22,"LP","I"
62,8,22,"LP","I"
57,12,22,"LP","I"
57,12,22,"LP","I"
7,10,22,"LP","I"
5,7,22,"LP","I"
56,7,23,"LP","I"
44,23,23,"LP","I"
7,10,23,"LP","I"
32,11,23,"LP","I"
17,6,23,"LP","I"
28,33,23,"LP","I"
46,5,23,"LP","I"
38,6,23,"LP","I"
32,11,23,"LP","I"
47,11,23,"LP","I"
86,4,23,"LP","I"
69,1,23,"LP","I"
64,15,23,"LP","I"
72,9,23,"LP","I"
14,37,23,"LP","I"
61,39,23,"LP","I"
39,1,23,"LP","I"
44,23,23,"LP","I"
41,2,23,"LP","I"
62,8,23,"LP","I"
72,9,24,"LP","I"
61,39,24,"LP","I"
78,12,24,"LP","I"
66,1,24,"LP","I"
7,10,24,"LP","I"
28,33,24,"LP","I"
19,11,24,"LP","I"
8,6,24,"LP","I"
62,8,24,"LP","I"
60,5,24,"LP","I"
86,4,24,"LP","I"
46,5,24,"LP","I"
33,13,24,"LP","I"
67,11,24,"LP","I"
20,8,24,"LP","I"
5,7,24,"LP","I"
78,12,24,"LP","I"
64,15,24,"LP","I"
28,33,24,"LP","I"
32,11,24,"LP","I"
38,6,25,"LP","I"
80,6,25,"LP","I"
28,33,25,"LP","I"
91,9,25,"LP","I"
5,7,25,"LP","I"
36,5,25,"LP","I"
23,8,25,"LP","I"
48,6,25,"LP","I"
39,1,25,"LP","I"
47,11,25,"LP","I"
54,8,25,"LP","I"
66,1,25,"LP","I"
57,12,25,"LP","I"
46,5,25,"LP","I"
28,33,25,"LP","I"
19,11,25,"LP","I"
64,15,25,"LP","I"
20,8,25,"LP","I"
78,12,25,"LP","I"
72,9,25,"LP","I"
56,7,26,"LP","I"
26,62,26,"LP","I"
69,1,26,"LP","I"
86,4,26,"LP","I"
20,8,26,"LP","I"
38,6,26,"LP","I"
78,12,26,"LP","I"
62,8,26,"LP","I"
67,11,26,"LP","I"
64,15,26,"LP","I"
72,9,26,"LP","I"
7,10,26,"LP","I"
36,5,26,"LP","I"
77,20,26,"LP","I"
33,13,26,"LP","I"
57,12,26,"LP","I"
30,3,26,"LP","I"
64,15,26,"LP","I"
11,32,26,"LP","I"
24,5,26,"LP","I"
46,5,27,"LP","I"
57,12,27,"LP","I"
19,11,27,"LP","I"
66,1,27,"LP","I"
64,15,27,"LP","I"
11,32,27,"LP","I"
30,3,27,"LP","I"
62,8,27,"LP","I"
59,5,27,"LP","I"
86,4,27,"LP","I"
78,12,27,"LP","I"
14,37,27,"LP","I"
8,6,27,"LP","I"
64,15,27,"LP","I"
5,7,27,"LP","I"
72,9,27,"LP","I"
4,11,27,"LP","I"
57,12,27,"LP","I"
41,2,27,"LP","I"
67,11,27,"LP","I"
38,6,28,"LP","I"
56,7,28,"LP","I"
69,1,28,"LP","I"
7,10,28,"LP","I"
62,8,28,"LP","I"
28,33,28,"LP","I"
44,23,28,"LP","I"
81,2,28,"LP","I"
78,12,28,"LP","I"
4,11,28,"LP","I"
76,7,28,"LP","I"
44,23,28,"LP","I"
64,15,28,"LP","I"
38,6,28,"LP","I"
82,1,28,"LP","I"
19,11,28,"LP","I"
14,37,28,"LP","I"
59,5,28,"LP","I"
20,8,28,"LP","I"
47,11,28,"LP","I"
46,5,29,"LP","I"
64,15,29,"LP","I"
7,10,29,"LP","I"
11,32,29,"LP","I"
80,6,29,"LP","I"
19,11,29,"LP","I"
26,62,29,"LP","I"
78,12,29,"LP","I"
24,5,29,"LP","I"
61,39,29,"LP","I"
12,11,29,"LP","I"
17,6,29,"LP","I"
33,13,29,"LP","I"
16,8,29,"LP","I"
38,6,29,"LP","I"
41,2,29,"LP","I"
47,11,29,"LP","I"
48,6,29,"LP","I"
57,12,29,"LP","I"
39,1,29,"LP","I"
86,4,30,"LP","I"
72,9,30,"LP","I"
39,1,30,"LP","I"
30,3,30,"LP","I"
78,12,30,"LP","I"
23,8,30,"LP","I"
28,33,30,"LP","I"
16,8,30,"LP","I"
61,39,30,"LP","I"
80,6,30,"LP","I"
56,7,30,"LP","I"
32,11,30,"LP","I"
11,32,30,"LP","I"
30,3,30,"LP","I"
4,11,30,"LP","I"
61,39,30,"LP","I"
48,6,30,"LP","I"
14,37,30,"LP","I"
17,6,30,"LP","I"
67,11,30,"LP","I"
20,8,31,"LP","I"
28,33,31,"LP","I"
67,11,31,"LP","I"
47,11,31,"LP","I"
66,1,31,"LP","I"
56,7,31,"LP","I"
19,11,31,"LP","I"
57,12,31,"LP","I"
48,6,31,"LP","I"
19,11,31,"LP","I"
41,2,31,"LP","I"
47,11,31,"LP","I"
60,5,31,"LP","I"
14,37,31,"LP","I"
28,33,31,"LP","I"
69,1,31,"LP","I"
62,8,31,"LP","I"
72,9,31,"LP","I"
33,13,31,"LP","I"
32,11,31,"LP","I"
32,11,32,"LP","I"
48,6,32,"LP","I"
69,1,32,"LP","I"
30,3,32,"LP","I"
8,6,32,"LP","I"
77,20,32,"LP","I"
5,7,32,"LP","I"
62,8,32,"LP","I"
56,7,32,"LP","I"
26,62,32,"LP","I"
77,20,32,"LP","I"
30,3,32,"LP","I"
23,8,32,"LP","I"
45,8,32,"LP","I"
11,32,32,"LP","I"
80,6,32,"LP","I"
72,9,32,"LP","I"
72,9,32,"LP","I"
19,11,32,"LP","I"
19,11,32,"LP","I"
61,39,33,"LP","I"
4,11,33,"LP","I"
44,23,33,"LP","I"
60,5,33,"LP","I"
30,3,33,"LP","I"
36,5,33,"LP","I"
62,8,33,"LP","I"
82,1,33,"LP","I"
11,32,33,"LP","I"
47,11,33,"LP","I"
39,1,33,"LP","I"
54,8,33,"LP","I"
16,8,33,"LP","I"
16,8,33,"LP","I"
30,3,33,"LP","I"
44,23,33,"LP","I"
76,7,33,"LP","I"
13,3,33,"LP","I"
81,2,33,"LP","I"
41,2,33,"LP","I"
51,3,34,"LP","I"
86,4,34,"LP","I"
14,37,34,"LP","I"
33,13,34,"LP","I"
57,12,34,"LP","I"
16,8,34,"LP","I"
48,6,34,"LP","I"
30,3,34,"LP","I"
19,11,34,"LP","I"
5,7,34,"LP","I"
26,62,34,"LP","I"
78,12,34,"LP","I"
36,5,34,"LP","I"
57,12,34,"LP","I"
33,13,34,"LP","I"
14,37,34,"LP","I"
69,1,34,"LP","I"
61,39,34,"LP","I"
20,8,34,"LP","I"
48,6,34,"LP","I"
66,1,35,"LP","I"
32,11,35,"LP","I"
47,11,35,"LP","I"
82,1,35,"LP","I"
30,3,35,"LP","I"
86,4,35,"LP","I"
62,8,35,"LP","I"
62,8,35,"LP","I"
72,9,35,"LP","I"
26,62,35,"LP","I"
28,33,35,"LP","I"
76,7,35,"LP","I"
69,1,35,"LP","I"
77,20,35,"LP","I"
16,8,35,"LP","I"
20,8,35,"LP","I"
14,37,35,"LP","I"
47,11,35,"LP","I"
5,7,35,"LP","I"
60,5,35,"LP","I"
57,12,36,"LP","I"
7,10,36,"LP","I"
59,5,36,"LP","I"
61,39,36,"LP","I"
47,11,36,"LP","I"
39,1,36,"LP","I"
17,6,36,"LP","I"
76,7,36,"LP","I"
16,8,36,"LP","I"
47,11,36,"LP","I"
44,23,36,"LP","I"
66,1,36,"LP","I"
17,6,36,"LP","I"
38,6,36,"LP","I"
61,39,36,"LP","I"
24,5,36,"LP","I"
32,11,36,"LP","I"
26,62,36,"LP","I"
78,12,36,"LP","I"
14,37,36,"LP","I"
5,7,37,"LP","I"
72,9,37,"LP","I"
66,1,37,"LP","I"
47,11,37,"LP","I"
77,20,37,"LP","I"
19,11,37,"LP","I"
62,8,37,"LP","I"
41,2,37,"LP","I"
5,7,37,"LP","I"
17,6,37,"LP","I"
61,39,37,"LP","I"
86,4,37,"LP","I"
82,1,37,"LP","I"
69,1,37,"LP","I"
64,15,37,"LP","I"
24,5,37,"LP","I"
72,9,37,"LP","I"
62,8,37,"LP","I"
56,7,37,"LP","I"
67,11,37,"LP","I"
32,11,38,"LP","I"
47,11,38,"LP","I"
46,5,38,"LP","I"
41,2,38,"LP","I"
14,37,38,"LP","I"
26,62,38,"LP","I"
17,6,38,"LP","I"
28,33,38,"LP","I"
77,20,38,"LP","I"
17,6,38,"LP","I"
44,23,38,"LP","I"
61,39,38,"LP","I"
69,1,38,"LP","I"
7,10,38,"LP","I"
82,1,38,"LP","I"
62,8,38,"LP","I"
44,23,38,"LP","I"
56,7,38,"LP","I"
57,12,38,"LP","I"
32,11,38,"LP","I"
57,12,39,"LP","I"
41,2,39,"LP","I"
11,32,39,"LP","I"
48,6,39,"LP","I"
47,11,39,"LP","I"
62,8,39,"LP","I"
33,13,39,"LP","I"
38,6,39,"LP","I"
44,23,39,"LP","I"
7,10,39,"LP","I"
86,4,39,"LP","I"
30,3,39,"LP","I"
78,12,39,"LP","I"
80,6,39,"LP","I"
20,8,39,"LP","I"
82,1,39,"LP","I"
33,13,39,"LP","I"
51,3,39,"LP","I"
47,11,39,"LP","I"
64,15,39,"LP","I"
26,62,40,"LP","I"
60,5,40,"LP","I"
76,7,40,"LP","I"
80,6,40,"LP","I"
38,6,40,"LP","I"
38,6,40,"LP","I"
48,6,40,"LP","I"
47,11,40,"LP","I"
72,9,40,"LP","I"
28,33,40,"LP","I"
64,15,40,"LP","I"
61,39,40,"LP","I"
16,8,40,"LP","I"
67,11,40,"LP","I"
78,12,40,"LP","I"
46,5,40,"LP","I"
32,11,40,"LP","I"
41,2,40,"LP","I"
77,20,40,"LP","I"
33,13,40,"LP","I"
67,11,41,"LP","I"
32,11,41,"LP","I"
41,2,41,"LP","I"
30,3,41,"LP","I"
39,1,41,"LP","I"
72,9,41,"LP","I"
47,11,41,"LP","I"
80,6,41,"LP","I"
77,20,41,"LP","I"
44,23,41,"LP","I"
77,20,41,"LP","I"
48,6,41,"LP","I"
12,11,41,"LP","I"
91,9,41,"LP","I"
19,11,41,"LP","I"
20,8,41,"LP","I"
26,62,41,"LP","I"
13,3,41,"LP","I"
11,32,41,"LP","I"
64,15,41,"LP","I"
16,8,42,"LP","I"
38,6,42,"LP","I"
39,1,42,"LP","I"
26,62,42,"LP","I"
78,12,42,"LP","I"
38,6,42,"LP","I"
14,37,42,"LP","I"
81,2,42,"LP","I"
46,5,42,"LP","I"
72,9,42,"LP","I"
54,8,42,"LP","I"
82,1,42,"LP","I"
5,7,42,"LP","I"
17,6,42,"LP","I"
19,11,42,"LP","I"
91,9,42,"LP","I"
4,11,42,"LP","I"
41,2,42,"LP","I"
36,5,42,"LP","I"
48,6,42,"LP","I"
86,4,43,"LP","I"
12,11,43,"LP","I"
47,11,43,"LP","I"
20,8,43,"LP","I"
72,9,43,"LP","I"
41,2,43,"LP","I"
14,37,43,"LP","I"
78,12,43,"LP","I"
23,8,43,"LP","I"
