"species_rem","degree","iteration","habitat_from","management"
283,2,1,"GM","SI"
396,1,1,"GM","SI"
247,1,1,"GM","SI"
49,7,1,"GM","SI"
362,1,1,"GM","SI"
492,3,1,"GM","SI"
295,1,1,"GM","SI"
101,1,1,"GM","SI"
502,14,1,"GM","SI"
298,1,1,"GM","SI"
344,1,1,"GM","SI"
335,1,1,"GM","SI"
131,1,1,"GM","SI"
124,2,1,"GM","SI"
31,6,1,"GM","SI"
317,1,1,"GM","SI"
38,4,1,"GM","SI"
465,1,1,"GM","SI"
112,1,1,"GM","SI"
292,1,1,"GM","SI"
26,78,1,"GM","SI"
411,1,1,"GM","SI"
139,1,1,"GM","SI"
378,1,1,"GM","SI"
415,1,1,"GM","SI"
60,3,1,"GM","SI"
373,1,1,"GM","SI"
512,2,1,"GM","SI"
252,1,1,"GM","SI"
451,1,1,"GM","SI"
505,20,1,"GM","SI"
433,1,1,"GM","SI"
246,1,1,"GM","SI"
452,1,1,"GM","SI"
337,2,1,"GM","SI"
549,1,1,"GM","SI"
32,14,1,"GM","SI"
304,3,1,"GM","SI"
267,1,1,"GM","SI"
358,8,1,"GM","SI"
240,1,1,"GM","SI"
407,1,1,"GM","SI"
422,2,1,"GM","SI"
212,1,1,"GM","SI"
457,4,1,"GM","SI"
228,1,1,"GM","SI"
30,2,1,"GM","SI"
484,5,1,"GM","SI"
71,4,1,"GM","SI"
163,1,1,"GM","SI"
58,5,1,"GM","SI"
255,1,1,"GM","SI"
520,1,1,"GM","SI"
519,3,1,"GM","SI"
540,4,1,"GM","SI"
471,2,1,"GM","SI"
62,7,1,"GM","SI"
123,1,1,"GM","SI"
209,2,1,"GM","SI"
12,12,1,"GM","SI"
365,1,1,"GM","SI"
435,3,1,"GM","SI"
254,1,1,"GM","SI"
151,1,1,"GM","SI"
397,1,1,"GM","SI"
129,1,1,"GM","SI"
446,1,1,"GM","SI"
13,4,1,"GM","SI"
467,1,1,"GM","SI"
442,1,2,"GM","SI"
357,1,2,"GM","SI"
224,1,2,"GM","SI"
465,1,2,"GM","SI"
124,2,2,"GM","SI"
452,1,2,"GM","SI"
317,1,2,"GM","SI"
267,1,2,"GM","SI"
2,16,2,"GM","SI"
520,1,2,"GM","SI"
540,4,2,"GM","SI"
77,7,2,"GM","SI"
454,1,2,"GM","SI"
505,20,2,"GM","SI"
318,2,2,"GM","SI"
123,1,2,"GM","SI"
237,2,2,"GM","SI"
7,10,2,"GM","SI"
462,1,2,"GM","SI"
303,3,2,"GM","SI"
