"species_rem","degree","iteration","habitat_from","management"
5,9,"1","WD","SE"
37,1,"1","WD","SE"
92,1,"1","WD","SE"
71,1,"1","WD","SE"
547,1,"1","WD","SE"
7,24,"1","WD","SE"
16,6,"1","WD","SE"
80,10,"1","WD","SE"
29,2,"1","WD","SE"
51,3,"1","WD","SE"
338,3,"1","WD","SE"
82,3,"1","WD","SE"
64,23,"1","WD","SE"
41,1,"1","WD","SE"
49,1,"1","WD","SE"
17,5,"1","WD","SE"
36,6,"1","WD","SE"
544,3,"1","WD","SE"
551,1,"1","WD","SE"
9,1,"1","WD","SE"
548,1,"1","WD","SE"
5,9,"1","WD","SE"
78,9,"1","WD","SE"
28,22,"1","WD","SE"
76,6,"1","WD","SE"
23,7,"2","WD","SE"
7,24,"2","WD","SE"
90,3,"2","WD","SE"
44,35,"2","WD","SE"
544,3,"2","WD","SE"
93,3,"2","WD","SE"
4,9,"2","WD","SE"
19,8,"2","WD","SE"
47,10,"2","WD","SE"
5,9,"2","WD","SE"
38,5,"2","WD","SE"
9,1,"2","WD","SE"
12,9,"2","WD","SE"
37,1,"2","WD","SE"
72,8,"2","WD","SE"
551,1,"2","WD","SE"
48,4,"2","WD","SE"
58,2,"2","WD","SE"
71,1,"2","WD","SE"
91,8,"2","WD","SE"
51,3,"2","WD","SE"
45,7,"2","WD","SE"
64,23,"2","WD","SE"
28,22,"2","WD","SE"
50,4,"2","WD","SE"
16,6,"3","WD","SE"
28,22,"3","WD","SE"
548,1,"3","WD","SE"
52,2,"3","WD","SE"
48,4,"3","WD","SE"
14,16,"3","WD","SE"
29,2,"3","WD","SE"
551,1,"3","WD","SE"
5,9,"3","WD","SE"
544,3,"3","WD","SE"
51,3,"3","WD","SE"
26,41,"3","WD","SE"
45,7,"3","WD","SE"
13,4,"3","WD","SE"
53,1,"3","WD","SE"
33,12,"3","WD","SE"
50,4,"3","WD","SE"
47,10,"3","WD","SE"
547,1,"3","WD","SE"
64,23,"3","WD","SE"
49,1,"3","WD","SE"
61,37,"3","WD","SE"
17,5,"3","WD","SE"
9,1,"3","WD","SE"
36,6,"3","WD","SE"
48,4,"4","WD","SE"
36,6,"4","WD","SE"
64,23,"4","WD","SE"
26,41,"4","WD","SE"
28,22,"4","WD","SE"
12,9,"4","WD","SE"
14,16,"4","WD","SE"
5,9,"4","WD","SE"
51,3,"4","WD","SE"
32,9,"4","WD","SE"
57,9,"4","WD","SE"
37,1,"4","WD","SE"
29,2,"4","WD","SE"
91,8,"4","WD","SE"
13,4,"4","WD","SE"
58,2,"4","WD","SE"
546,1,"4","WD","SE"
80,10,"4","WD","SE"
76,6,"4","WD","SE"
9,1,"4","WD","SE"
545,2,"4","WD","SE"
57,9,"4","WD","SE"
548,1,"4","WD","SE"
40,6,"4","WD","SE"
52,2,"4","WD","SE"
37,1,"5","WD","SE"
32,9,"5","WD","SE"
38,5,"5","WD","SE"
49,1,"5","WD","SE"
551,1,"5","WD","SE"
11,30,"5","WD","SE"
53,1,"5","WD","SE"
5,9,"5","WD","SE"
43,1,"5","WD","SE"
45,7,"5","WD","SE"
1,3,"5","WD","SE"
71,1,"5","WD","SE"
61,37,"5","WD","SE"
