"","layer","node_id","taxon_from","services","node_to","services_to","type","hop"
"1","CP",18,"Plant","None",73,"None","I",2
"2","CP",73,"Plant","None",18,"None","I",2
"3","CP",10,"Plant","None",43,"None","I",2
"4","CP",10,"Plant","None",56,"None","I",2
"5","CP",43,"Plant","None",10,"None","I",2
"6","CP",43,"Plant","None",56,"None","I",2
"7","CP",56,"Plant","None",10,"None","I",2
"8","CP",56,"Plant","None",43,"None","I",2
"9","CP",10,"Plant","None",18,"None","I",2
"10","CP",10,"Plant","None",24,"None","I",2
"11","CP",10,"Plant","None",56,"None","I",2
"12","CP",18,"Plant","None",10,"None","I",2
"13","CP",18,"Plant","None",24,"None","I",2
"14","CP",18,"Plant","None",56,"None","I",2
"15","CP",24,"Plant","None",10,"None","I",2
"16","CP",24,"Plant","None",18,"None","I",2
"17","CP",24,"Plant","None",56,"None","I",2
"18","CP",56,"Plant","None",10,"None","I",2
"19","CP",56,"Plant","None",18,"None","I",2
"20","CP",56,"Plant","None",24,"None","I",2
"21","CP",10,"Plant","None",24,"None","I",2
"22","CP",10,"Plant","None",36,"None","I",2
"23","CP",10,"Plant","None",43,"None","I",2
"24","CP",10,"Plant","None",56,"None","I",2
"25","CP",10,"Plant","None",71,"None","I",2
"26","CP",24,"Plant","None",10,"None","I",2
"27","CP",24,"Plant","None",36,"None","I",2
"28","CP",24,"Plant","None",43,"None","I",2
"29","CP",24,"Plant","None",56,"None","I",2
"30","CP",24,"Plant","None",71,"None","I",2
"31","CP",36,"Plant","None",10,"None","I",2
"32","CP",36,"Plant","None",24,"None","I",2
"33","CP",36,"Plant","None",43,"None","I",2
"34","CP",36,"Plant","None",56,"None","I",2
"35","CP",36,"Plant","None",71,"None","I",2
"36","CP",43,"Plant","None",10,"None","I",2
"37","CP",43,"Plant","None",24,"None","I",2
"38","CP",43,"Plant","None",36,"None","I",2
"39","CP",43,"Plant","None",56,"None","I",2
"40","CP",43,"Plant","None",71,"None","I",2
"41","CP",56,"Plant","None",10,"None","I",2
"42","CP",56,"Plant","None",24,"None","I",2
"43","CP",56,"Plant","None",36,"None","I",2
"44","CP",56,"Plant","None",43,"None","I",2
"45","CP",56,"Plant","None",71,"None","I",2
"46","CP",71,"Plant","None",10,"None","I",2
"47","CP",71,"Plant","None",24,"None","I",2
"48","CP",71,"Plant","None",36,"None","I",2
"49","CP",71,"Plant","None",43,"None","I",2
"50","CP",71,"Plant","None",56,"None","I",2
"51","CP",10,"Plant","None",24,"None","I",2
"52","CP",10,"Plant","None",56,"None","I",2
"53","CP",24,"Plant","None",10,"None","I",2
"54","CP",24,"Plant","None",56,"None","I",2
"55","CP",56,"Plant","None",10,"None","I",2
"56","CP",56,"Plant","None",24,"None","I",2
"57","CP",26,"Plant","None",56,"None","I",2
"58","CP",56,"Plant","None",26,"None","I",2
"59","CP",10,"Plant","None",56,"None","I",2
"60","CP",56,"Plant","None",10,"None","I",2
"61","CP",10,"Plant","None",56,"None","I",2
"62","CP",10,"Plant","None",57,"None","I",2
"63","CP",10,"Plant","None",72,"None","I",2
"64","CP",56,"Plant","None",10,"None","I",2
"65","CP",56,"Plant","None",57,"None","I",2
"66","CP",56,"Plant","None",72,"None","I",2
"67","CP",57,"Plant","None",10,"None","I",2
"68","CP",57,"Plant","None",56,"None","I",2
"69","CP",57,"Plant","None",72,"None","I",2
"70","CP",72,"Plant","None",10,"None","I",2
"71","CP",72,"Plant","None",56,"None","I",2
"72","CP",72,"Plant","None",57,"None","I",2
"73","CP",56,"Plant","None",71,"None","I",2
"74","CP",71,"Plant","None",56,"None","I",2
"75","CP",10,"Plant","None",56,"None","I",2
"76","CP",56,"Plant","None",10,"None","I",2
"77","CP",56,"Plant","None",72,"None","I",2
"78","CP",72,"Plant","None",56,"None","I",2
"79","CP",24,"Plant","None",56,"None","I",2
"80","CP",56,"Plant","None",24,"None","I",2
"81","CP",31,"Plant","None",379,"Pest control","I",2
"82","CP",36,"Plant","None",365,"Pest control","I",2
"83","CP",36,"Plant","None",374,"Pest control","I",2
"84","CP",36,"Plant","None",375,"Pest control","I",2
"85","CP",36,"Plant","None",378,"Pest control","I",2
"86","CP",36,"Plant","None",56,"None","I",2
"87","CP",56,"Plant","None",365,"Pest control","I",2
"88","CP",56,"Plant","None",374,"Pest control","I",2
"89","CP",56,"Plant","None",375,"Pest control","I",2
"90","CP",56,"Plant","None",378,"Pest control","I",2
"91","CP",56,"Plant","None",36,"None","I",2
"92","CP",72,"Plant","None",73,"None","I",2
"93","CP",73,"Plant","None",72,"None","I",2
"94","CP",17,"Plant","None",61,"None","I",2
"95","CP",61,"Plant","None",17,"None","I",2
"96","CP",41,"Plant","None",363,"Pest control","I",2
"97","CP",41,"Plant","None",365,"Pest control","I",2
"98","CP",41,"Plant","None",366,"Pest control","I",2
"99","CP",41,"Plant","None",367,"Pest control","I",2
"100","CP",41,"Plant","None",368,"Pest control","I",2
"101","CP",41,"Plant","None",372,"Pest control","I",2
"102","CP",41,"Plant","None",374,"Pest control","I",2
"103","CP",41,"Plant","None",375,"Pest control","I",2
"104","CP",41,"Plant","None",376,"Pest control","I",2
"105","CP",41,"Plant","None",378,"Pest control","I",2
"106","CP",41,"Plant","None",379,"Pest control","I",2
"107","CP",41,"Plant","None",91,"Crop production","I",2
"108","CP",41,"Plant","None",92,"Crop production","I",2
"109","CP",41,"Plant","None",93,"Crop production","I",2
"110","CP",91,"Crop","Crop production",363,"Pest control","I",2
"111","CP",91,"Crop","Crop production",365,"Pest control","I",2
"112","CP",91,"Crop","Crop production",366,"Pest control","I",2
"113","CP",91,"Crop","Crop production",367,"Pest control","I",2
"114","CP",91,"Crop","Crop production",368,"Pest control","I",2
"115","CP",91,"Crop","Crop production",372,"Pest control","I",2
"116","CP",91,"Crop","Crop production",374,"Pest control","I",2
"117","CP",91,"Crop","Crop production",375,"Pest control","I",2
"118","CP",91,"Crop","Crop production",376,"Pest control","I",2
"119","CP",91,"Crop","Crop production",378,"Pest control","I",2
"120","CP",91,"Crop","Crop production",379,"Pest control","I",2
"121","CP",91,"Crop","Crop production",41,"None","I",2
"122","CP",91,"Crop","Crop production",92,"Crop production","I",2
"123","CP",91,"Crop","Crop production",93,"Crop production","I",2
"124","CP",92,"Crop","Crop production",363,"Pest control","I",2
"125","CP",92,"Crop","Crop production",365,"Pest control","I",2
"126","CP",92,"Crop","Crop production",366,"Pest control","I",2
"127","CP",92,"Crop","Crop production",367,"Pest control","I",2
"128","CP",92,"Crop","Crop production",368,"Pest control","I",2
"129","CP",92,"Crop","Crop production",372,"Pest control","I",2
"130","CP",92,"Crop","Crop production",374,"Pest control","I",2
"131","CP",92,"Crop","Crop production",375,"Pest control","I",2
"132","CP",92,"Crop","Crop production",376,"Pest control","I",2
"133","CP",92,"Crop","Crop production",378,"Pest control","I",2
"134","CP",92,"Crop","Crop production",379,"Pest control","I",2
"135","CP",92,"Crop","Crop production",41,"None","I",2
"136","CP",92,"Crop","Crop production",91,"Crop production","I",2
"137","CP",92,"Crop","Crop production",93,"Crop production","I",2
"138","CP",93,"Crop","Crop production",363,"Pest control","I",2
"139","CP",93,"Crop","Crop production",365,"Pest control","I",2
"140","CP",93,"Crop","Crop production",366,"Pest control","I",2
"141","CP",93,"Crop","Crop production",367,"Pest control","I",2
"142","CP",93,"Crop","Crop production",368,"Pest control","I",2
"143","CP",93,"Crop","Crop production",372,"Pest control","I",2
"144","CP",93,"Crop","Crop production",374,"Pest control","I",2
"145","CP",93,"Crop","Crop production",375,"Pest control","I",2
"146","CP",93,"Crop","Crop production",376,"Pest control","I",2
"147","CP",93,"Crop","Crop production",378,"Pest control","I",2
"148","CP",93,"Crop","Crop production",379,"Pest control","I",2
"149","CP",93,"Crop","Crop production",41,"None","I",2
"150","CP",93,"Crop","Crop production",91,"Crop production","I",2
"151","CP",93,"Crop","Crop production",92,"Crop production","I",2
"152","CP",24,"Plant","None",370,"Pest control","I",2
"153","CP",24,"Plant","None",372,"Pest control","I",2
"154","CP",41,"Plant","None",93,"Crop production","I",2
"155","CP",41,"Plant","None",356,"Crop damage","I",2
"156","CP",93,"Crop","Crop production",41,"None","I",2
"157","CP",93,"Crop","Crop production",356,"Crop damage","I",2
"158","CP",356,"Aphid","Crop damage",41,"None","I",2
"159","CP",356,"Aphid","Crop damage",93,"Crop production","I",2
"160","CP",56,"Plant","None",91,"Crop production","I",2
"161","CP",56,"Plant","None",341,"Crop damage","I",2
"162","CP",56,"Plant","None",356,"Crop damage","I",2
"163","CP",91,"Crop","Crop production",56,"None","I",2
"164","CP",91,"Crop","Crop production",341,"Crop damage","I",2
"165","CP",91,"Crop","Crop production",356,"Crop damage","I",2
"166","CP",341,"Aphid","Crop damage",56,"None","I",2
"167","CP",341,"Aphid","Crop damage",91,"Crop production","I",2
"168","CP",341,"Aphid","Crop damage",356,"Crop damage","I",2
"169","CP",356,"Aphid","Crop damage",56,"None","I",2
"170","CP",356,"Aphid","Crop damage",91,"Crop production","I",2
"171","CP",356,"Aphid","Crop damage",341,"Crop damage","I",2
"172","CP",41,"Plant","None",91,"Crop production","I",2
"173","CP",41,"Plant","None",92,"Crop production","I",2
"174","CP",41,"Plant","None",93,"Crop production","I",2
"175","CP",41,"Plant","None",356,"Crop damage","I",2
"176","CP",91,"Crop","Crop production",41,"None","I",2
"177","CP",91,"Crop","Crop production",92,"Crop production","I",2
"178","CP",91,"Crop","Crop production",93,"Crop production","I",2
"179","CP",91,"Crop","Crop production",356,"Crop damage","I",2
"180","CP",92,"Crop","Crop production",41,"None","I",2
"181","CP",92,"Crop","Crop production",91,"Crop production","I",2
"182","CP",92,"Crop","Crop production",93,"Crop production","I",2
"183","CP",92,"Crop","Crop production",356,"Crop damage","I",2
"184","CP",93,"Crop","Crop production",41,"None","I",2
"185","CP",93,"Crop","Crop production",91,"Crop production","I",2
"186","CP",93,"Crop","Crop production",92,"Crop production","I",2
"187","CP",93,"Crop","Crop production",356,"Crop damage","I",2
"188","CP",356,"Aphid","Crop damage",41,"None","I",2
"189","CP",356,"Aphid","Crop damage",91,"Crop production","I",2
"190","CP",356,"Aphid","Crop damage",92,"Crop production","I",2
"191","CP",356,"Aphid","Crop damage",93,"Crop production","I",2
"192","CP",91,"Crop","Crop production",93,"Crop production","I",2
"193","CP",91,"Crop","Crop production",356,"Crop damage","I",2
"194","CP",93,"Crop","Crop production",91,"Crop production","I",2
"195","CP",93,"Crop","Crop production",356,"Crop damage","I",2
"196","CP",356,"Aphid","Crop damage",91,"Crop production","I",2
"197","CP",356,"Aphid","Crop damage",93,"Crop production","I",2
"198","CP",41,"Plant","None",91,"Crop production","I",2
"199","CP",41,"Plant","None",92,"Crop production","I",2
"200","CP",41,"Plant","None",93,"Crop production","I",2
"201","CP",41,"Plant","None",356,"Crop damage","I",2
"202","CP",91,"Crop","Crop production",41,"None","I",2
"203","CP",91,"Crop","Crop production",92,"Crop production","I",2
"204","CP",91,"Crop","Crop production",93,"Crop production","I",2
"205","CP",91,"Crop","Crop production",356,"Crop damage","I",2
"206","CP",92,"Crop","Crop production",41,"None","I",2
"207","CP",92,"Crop","Crop production",91,"Crop production","I",2
"208","CP",92,"Crop","Crop production",93,"Crop production","I",2
"209","CP",92,"Crop","Crop production",356,"Crop damage","I",2
"210","CP",93,"Crop","Crop production",41,"None","I",2
"211","CP",93,"Crop","Crop production",91,"Crop production","I",2
"212","CP",93,"Crop","Crop production",92,"Crop production","I",2
"213","CP",93,"Crop","Crop production",356,"Crop damage","I",2
"214","CP",356,"Aphid","Crop damage",41,"None","I",2
"215","CP",356,"Aphid","Crop damage",91,"Crop production","I",2
"216","CP",356,"Aphid","Crop damage",92,"Crop production","I",2
"217","CP",356,"Aphid","Crop damage",93,"Crop production","I",2
"218","CP",24,"Plant","None",359,"Crop damage","I",2
"219","CP",359,"Aphid","Crop damage",24,"None","I",2
"220","CP",24,"Plant","None",41,"None","I",2
"221","CP",24,"Plant","None",92,"Crop production","I",2
"222","CP",24,"Plant","None",93,"Crop production","I",2
"223","CP",24,"Plant","None",356,"Crop damage","I",2
"224","CP",24,"Plant","None",359,"Crop damage","I",2
"225","CP",41,"Plant","None",24,"None","I",2
"226","CP",41,"Plant","None",92,"Crop production","I",2
"227","CP",41,"Plant","None",93,"Crop production","I",2
"228","CP",41,"Plant","None",356,"Crop damage","I",2
"229","CP",41,"Plant","None",359,"Crop damage","I",2
"230","CP",92,"Crop","Crop production",24,"None","I",2
"231","CP",92,"Crop","Crop production",41,"None","I",2
"232","CP",92,"Crop","Crop production",93,"Crop production","I",2
"233","CP",92,"Crop","Crop production",356,"Crop damage","I",2
"234","CP",92,"Crop","Crop production",359,"Crop damage","I",2
"235","CP",93,"Crop","Crop production",24,"None","I",2
"236","CP",93,"Crop","Crop production",41,"None","I",2
"237","CP",93,"Crop","Crop production",92,"Crop production","I",2
"238","CP",93,"Crop","Crop production",356,"Crop damage","I",2
"239","CP",93,"Crop","Crop production",359,"Crop damage","I",2
"240","CP",356,"Aphid","Crop damage",24,"None","I",2
"241","CP",356,"Aphid","Crop damage",41,"None","I",2
