"node_id","module","layer_id","flow","node_name","taxon","Crop production","Pollination","Crop damage","Pest control","Seed dispersal","Butterfly watching","Bird watching","ES","DES"
1,58,5,1.48942e-06,"01PLANT.Ash","Plant",0,0,0,0,0,0,0,0,0
1,51,11,7.96128e-05,"01PLANT.Ash","Plant",0,0,0,0,0,0,0,0,0
2,91,2,0.000732274,"01PLANT.Autumn Hawkbit","Plant",0,0,0,0,0,0,0,0,0
2,45,8,0.00235686,"01PLANT.Autumn Hawkbit","Plant",0,0,0,0,0,0,0,0,0
3,113,2,0.000406752,"01PLANT.Bindweed sp","Plant",0,0,0,0,0,0,0,0,0
3,117,5,0.000239484,"01PLANT.Bindweed sp","Plant",0,0,0,0,0,0,0,0,0
3,36,9,0.000398454,"01PLANT.Bindweed sp","Plant",0,0,0,0,0,0,0,0,0
4,30,6,1.52464e-06,"01PLANT.Black Bindweed","Plant",0,0,0,0,0,0,0,0,0
5,42,5,0.002418,"01PLANT.Blackthorn","Plant",0,0,0,0,0,0,0,0,0
5,34,6,0.00297499,"01PLANT.Blackthorn","Plant",0,0,0,0,0,0,0,0,0
5,63,11,0.00148121,"01PLANT.Blackthorn","Plant",0,0,0,0,0,0,0,0,0
6,7,5,3.14743e-05,"01PLANT.Bluebell","Plant",0,0,0,0,0,0,0,0,0
6,70,11,0.000796362,"01PLANT.Bluebell","Plant",0,0,0,0,0,0,0,0,0
7,7,5,0.016481,"01PLANT.Bramble","Plant",0,0,0,0,0,0,0,0,0
7,30,6,3.95408e-05,"01PLANT.Bramble","Plant",0,0,0,0,0,0,0,0,0
7,36,9,0.0021425,"01PLANT.Bramble","Plant",0,0,0,0,0,0,0,0,0
7,31,11,0.00478494,"01PLANT.Bramble","Plant",0,0,0,0,0,0,0,0,0
8,105,11,0.000349558,"01PLANT.Bugle","Plant",0,0,0,0,0,0,0,0,0
9,30,6,5.12563e-07,"01PLANT.Bush Vetch","Plant",0,0,0,0,0,0,0,0,0
9,112,9,0.000359338,"01PLANT.Bush Vetch","Plant",0,0,0,0,0,0,0,0,0
10,19,1,0.00867664,"01PLANT.Charlock","Plant",0,0,0,0,0,0,0,0,0
10,55,2,0.000613441,"01PLANT.Charlock","Plant",0,0,0,0,0,0,0,0,0
10,87,3,0.000773809,"01PLANT.Charlock","Plant",0,0,0,0,0,0,0,0,0
10,57,8,0.0017811,"01PLANT.Charlock","Plant",0,0,0,0,0,0,0,0,0
10,61,9,0.000311059,"01PLANT.Charlock","Plant",0,0,0,0,0,0,0,0,0
11,30,5,0.000730414,"01PLANT.Chenopodium sp","Plant",0,0,0,0,0,0,0,0,0
