lower,upper,weight
01PLANT.Cow Parsley,02FV.Agriotes pallidulus,19.69379018
01PLANT.Creeping Buttercup,02FV.Agriotes pallidulus,19.69379018
01PLANT.Clover sp,02FV.Alysiinae sp,476.1544443
01PLANT.Creeping Buttercup,02FV.Alysiinae sp,18.99383363
01PLANT.Creeping Buttercup,02FV.Alysiinae sp,476.1544443
01PLANT.Hogweed,02FV.Alysiinae sp,99.41220475
01PLANT.Creeping Thistle,02FV.Anapausis soluta,49.70610238
01PLANT.Cow Parsley,02FV.Anaspis maculata,19.69379018
01PLANT.Hogweed,02FV.Anaspis maculata,19.69379018
01PLANT.Hogweed,02FV.Anaspis maculata,347.9427166
01PLANT.Rose sp,02FV.Anaspis maculata,39.38758037
01PLANT.Wild Privet,02FV.Anaspis maculata,149.1518293
01PLANT.Bramble,02FV.Anaspis pulicaria,49.70610238
01PLANT.Hogweed,02FV.Anaspis pulicaria,298.2366143
01PLANT.Rose sp,02FV.Anaspis pulicaria,236.3254822
01PLANT.Rough Chervil,02FV.Anaspis pulicaria,39.38758037
01PLANT.Charlock,02FV.Andrena dorsata,747.57433
01PLANT.Hawthorn,02FV.Andrena dorsata,6.531577848
01PLANT.Mayweed sp,02FV.Andrena minutula,99.41220475
01PLANT.Cow Parsley,02FV.Anthocomus fasciatus,39.38758036
01PLANT.Mayweed sp,02FV.Anthomyia liturata,99.41220475
01PLANT.Clover sp,02FV.Anthomyia pluvialis,604.9422397
01PLANT.Creeping Thistle,02FV.Anthomyza gracilis,49.70610238
01PLANT.Hogweed,02FV.Anthophila fabriciana,39.38758036
01PLANT.Hogweed,02FV.Anthophila fabriciana,99.41220476
01PLANT.Bramble,02FV.Apis mellifera,413.5695938
01PLANT.Clover sp,02FV.Apis mellifera,370.1797407
01PLANT.Clover sp,02FV.Apis mellifera,2380.772222
01PLANT.Clover sp,02FV.Apis mellifera,604.9422397
01PLANT.Clover sp,02FV.Apis mellifera,298.2366143
01PLANT.Corn Mint,02FV.Apis mellifera,596.4732285
01PLANT.Creeping Thistle,02FV.Apis mellifera,2300.899904
01PLANT.Creeping Thistle,02FV.Apis mellifera,99.41220476
01PLANT.Sow-thistle sp,02FV.Apis mellifera,6.531577848
01PLANT.Spear Thistle,02FV.Apis mellifera,17.41754093
01PLANT.zCROP Lucerne,02FV.Apis mellifera,17097.99419
01PLANT.Clover sp,02FV.Aprostocetus sp,476.1544443
01PLANT.Autumn Hawkbit,02FV.Asecodes coronis,1479.158009
01PLANT.Creeping Buttercup,02FV.Asecodes coronis,1109.368507
01PLANT.Mayweed sp,02FV.Authonomus rubi,49.70610238
01PLANT.Mayweed sp,02FV.Azelia cilipes,99.41220475
01PLANT.Hogweed,02FV.Azelia zetterstedtii,19.69379018
01PLANT.Bramble,02FV.Baccha elongate,74.57591465
01PLANT.Mayweed sp,02FV.Bellardia pandia,99.41220475
01PLANT.Cow Parsley,02FV.Bicellaria vana,19.69379018
01PLANT.Red Campion,02FV.Bicellaria vana,19.69379018
01PLANT.Red Campion,02FV.Bicellaria varia,39.38758036
01PLANT.Bramble,02FV.Bombus hortorum,49.70610238
01PLANT.Clover sp,02FV.Bombus hortorum,1209.884479
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,19.69379018
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,26.12631139
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,248.5305119
01PLANT.Bramble,02FV.Bombus lapidarius,19.69379018
01PLANT.Clover sp,02FV.Bombus lapidarius,8599.247617
01PLANT.Clover sp,02FV.Bombus lapidarius,2419.768959
01PLANT.Clover sp,02FV.Bombus lapidarius,739.5790043
01PLANT.Clover sp,02FV.Bombus lapidarius,149.1183071
01PLANT.Common Poppy,02FV.Bombus lapidarius,2289.742849
01PLANT.Creeping Thistle,02FV.Bombus lapidarius,19.69379018
01PLANT.Creeping Thistle,02FV.Bombus lapidarius,198.8244095
01PLANT.Spear Thistle,02FV.Bombus lapidarius,1495.14866
01PLANT.Spear Thistle,02FV.Bombus lapidarius,476.1544443
01PLANT.Spear Thistle,02FV.Bombus lapidarius,17.41754093
01PLANT.Spear Thistle,02FV.Bombus lapidarius,604.9422397
01PLANT.Bindweed sp,02FV.Bombus pascuorum,18.99383363
01PLANT.Bramble,02FV.Bombus pascuorum,39.38758036
01PLANT.Clover sp,02FV.Bombus pascuorum,56.98150089
01PLANT.Clover sp,02FV.Bombus pascuorum,1904.617777
01PLANT.Clover sp,02FV.Bombus pascuorum,6.531577848
01PLANT.Clover sp,02FV.Bombus pascuorum,3629.653438
01PLANT.Clover sp,02FV.Bombus pascuorum,2958.316018
01PLANT.Clover sp,02FV.Bombus pascuorum,99.41220476
01PLANT.Common Vetch,02FV.Bombus pascuorum,49.70610238
01PLANT.Creeping Thistle,02FV.Bombus pascuorum,19.69379018
01PLANT.Creeping Thistle,02FV.Bombus pascuorum,198.8244095
01PLANT.Hawthorn,02FV.Bombus pascuorum,39.38758037
01PLANT.Spear Thistle,02FV.Bombus pascuorum,23.94911878
01PLANT.White Dead-nettle,02FV.Bombus pascuorum,99.41220475
01PLANT.Clover sp,02FV.Bombus pratorum,739.5790043
01PLANT.Clover sp,02FV.Bombus pratorum,49.70610238
01PLANT.Bramble,02FV.Bombus terrestris,59.08137054
01PLANT.Clover sp,02FV.Bombus terrestris,5266.166507
01PLANT.Clover sp,02FV.Bombus terrestris,604.9422397
01PLANT.Common Poppy,02FV.Bombus terrestris,2220.334392
01PLANT.Creeping Thistle,02FV.Bombus terrestris,49.70610238
01PLANT.Spear Thistle,02FV.Bombus terrestris,604.9422397
01PLANT.zCROP Lucerne,02FV.Bombus terrestris,1139.866279
01PLANT.Clover sp,02FV.Bombus vestalis,952.3088886
01PLANT.Mayweed sp,02FV.Botanophila fugax,771.0842595
01PLANT.Ragwort,02FV.Botanophila fugax,13.0631557
01PLANT.Autumn Hawkbit,02FV.Botanophila striolata,1479.158009
01PLANT.Cow Parsley,02FV.Botanophila striolata,19.69379018
01PLANT.Creeping Buttercup,02FV.Botanophila striolata,476.1544443
01PLANT.Creeping Buttercup,02FV.Botanophila striolata,8.708770463
01PLANT.Creeping Buttercup,02FV.Botanophila striolata,49.70610238
01PLANT.Creeping Thistle,02FV.Botanophila striolata,19.69379018
01PLANT.Hogweed,02FV.Botanophila striolata,49.70610238
01PLANT.Bramble,02FV.Brachypterus urticae,99.41220475
01PLANT.Cow Parsley,02FV.Bracon sp,39.38758037
01PLANT.Creeping Buttercup,02FV.Bracon sp,18.99383363
01PLANT.Creeping Thistle,02FV.Bracon sp,1472.760062
01PLANT.Red Campion,02FV.Bracon sp,19.69379018
01PLANT.Mayweed sp,02FV.Bruchus rufimanus,2777.926462
01PLANT.Rose sp,02FV.Byturus tomentosus,39.38758037
01PLANT.Hogweed,02FV.Calliphora vicina,59.08137054
01PLANT.Ragwort,02FV.Calliphora vomitoria,6.531577848
01PLANT.Hawthorn,02FV.Cantharis decipiens,19.69379018
01PLANT.Cow Parsley,02FV.Cantharis lateralis,39.38758037
01PLANT.Bramble,02FV.Cantharis nigra,78.77516074
01PLANT.Charlock,02FV.Cantharis nigra,1800.952323
01PLANT.Creeping Buttercup,02FV.Cantharis nigra,21.77192616
01PLANT.Creeping Buttercup,02FV.Cantharis nigra,739.5790043
01PLANT.Hairy Tare,02FV.Cantharis nigra,1472.760062
01PLANT.Hogweed,02FV.Cantharis nigra,19.69379018
01PLANT.Mayweed sp,02FV.Cantharis nigra,1472.760062
01PLANT.Creeping Buttercup,02FV.Cecidomyiidae sp,370.1797407
01PLANT.Charlock,02FV.Centrorhynchus obstrictus,1800.952323
01PLANT.Bramble,02FV.Cephus pygmaeus,19.69379018
01PLANT.Charlock,02FV.Cephus pygmaeus,747.57433
01PLANT.Creeping Buttercup,02FV.Cephus pygmaeus,8.708770463
01PLANT.Creeping Buttercup,02FV.Cephus pygmaeus,49.70610238
01PLANT.Creeping Buttercup,02FV.Ceraphron trissacantha,720.380929
01PLANT.Charlock,02FV.Cetema elongata,720.380929
01PLANT.Creeping Buttercup,02FV.Cheilosia albitarsis,747.57433
01PLANT.Creeping Buttercup,02FV.Cheilosia albitarsis,18.99383363
01PLANT.Creeping Buttercup,02FV.Cheilosia albitarsis,8.708770463
01PLANT.Creeping Thistle,02FV.Cheilosia honesta,49.70610238
01PLANT.Hogweed,02FV.Cheilosia illustrata,49.70610238
01PLANT.Upright Hedge-parsley,02FV.Cheilosia pagana,49.70610238
01PLANT.Upright Hedge-parsley,02FV.Cheilosia proxima,49.70610238
01PLANT.Upright Hedge-parsley,02FV.Cheilosia proxima group sp. D,49.70610238
01PLANT.Creeping Buttercup,02FV.Chloromyia formosa,604.9422397
01PLANT.Creeping Buttercup,02FV.Chloromyia formosa,739.5790043
01PLANT.Hogweed,02FV.Chloromyia formosa,8.708770463
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,18.99383363
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,433.263384
01PLANT.Hawthorn,02FV.Chlorops hypostigma,19.69379018
01PLANT.Hogweed,02FV.Chlorops hypostigma,78.77516072
01PLANT.Hogweed,02FV.Chlorops hypostigma,198.8244095
01PLANT.Cow Parsley,02FV.Chlorops pumilionis,18.99383363
01PLANT.Hawthorn,02FV.Chlorops pumilionis,26.12631139
01PLANT.Hogweed,02FV.Chlorops pumilionis,19.69379018
01PLANT.Hogweed,02FV.Chorebus sp,99.41220475
01PLANT.Creeping Buttercup,02FV.Chorebus sp nov,1479.158009
01PLANT.Creeping Buttercup,02FV.Chromatomyia nigra,49.70610238
01PLANT.Creeping Thistle,02FV.Chrysopilus asiliformis,8.708770463
01PLANT.Mayweed sp,02FV.Chrysotoxum bicinctum,99.41220475
01PLANT.Bramble,02FV.Chrysotus sp,39.38758037
01PLANT.Bramble,02FV.Chrysotus sp,99.41220475
01PLANT.Bramble,02FV.Chrysotus sp,74.57591465
01PLANT.Charlock,02FV.Chrysotus sp,720.380929
01PLANT.Clover sp,02FV.Chrysotus sp,1109.368507
01PLANT.Creeping Buttercup,02FV.Chrysotus sp,49.70610238
01PLANT.Bramble,02FV.Coccinella septempunctata,39.38758037
01PLANT.Upright Hedge-parsley,02FV.Coenosia tigrina,49.70610238
01PLANT.Upright Hedge-parsley,02FV.Copromyza similes,39.38758037
01PLANT.Bramble,02FV.Crossopalpus sp,39.38758037
01PLANT.Cow Parsley,02FV.Dacnusa (maculipes),18.99383363
01PLANT.Autumn Hawkbit,02FV.Delia sp,1479.158009
01PLANT.Bindweed sp,02FV.Delia sp,52.51677382
01PLANT.Charlock,02FV.Delia sp,7231.002691
01PLANT.Common Poppy,02FV.Delia sp,771.0842595
01PLANT.Cow Parsley,02FV.Delia sp,39.38758036
01PLANT.Creeping Buttercup,02FV.Delia sp,696.2876156
01PLANT.Creeping Buttercup,02FV.Delia sp,1110.539222
01PLANT.Creeping Buttercup,02FV.Delia sp,476.1544443
01PLANT.Creeping Buttercup,02FV.Delia sp,13.0631557
01PLANT.Creeping Buttercup,02FV.Delia sp,6656.211041
01PLANT.Creeping Buttercup,02FV.Delia sp,49.70610238
01PLANT.Creeping Thistle,02FV.Delia sp,49.70610238
01PLANT.Hawthorn,02FV.Delia sp,13.0631557
01PLANT.Hogweed,02FV.Delia sp,546.7671262
01PLANT.Mayweed sp,02FV.Delia sp,3497.663914
01PLANT.Mayweed sp,02FV.Delia sp,2419.768959
01PLANT.Mayweed sp,02FV.Delia sp,695.8854333
01PLANT.Creeping Buttercup,02FV.Demetrias atricapillus,604.9422397
01PLANT.Creeping Buttercup,02FV.Desmometopa sp,747.57433
01PLANT.Cow Parsley,02FV.Dicraeus tibialis,18.99383363
01PLANT.Hogweed,02FV.Dicraeus vagans,397.648819
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,98.4689509
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,6.531577848
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,99.41220476
01PLANT.Hawthorn,02FV.Dilophus febrilis,19.69379018
01PLANT.Charlock,02FV.Diospilus capito,720.380929
01PLANT.Creeping Buttercup,02FV.Diplonevra sp,476.1544443
01PLANT.Creeping Buttercup,02FV.Diplonevra sp,1109.368507
01PLANT.Hogweed,02FV.Diplonevra sp,49.70610238
01PLANT.Wild Privet,02FV.Dolerus haematodes,6.531577848
01PLANT.Creeping Buttercup,02FV.Dolichopus festivus,18.99383363
01PLANT.Creeping Buttercup,02FV.Dolichopus festivus,49.70610238
01PLANT.Mayweed sp,02FV.Dolichopus festivus,2777.926462
01PLANT.Cow Parsley,02FV.Dolichopus ungulatus,39.38758037
01PLANT.Upright Hedge-parsley,02FV.Ectemnius cephalotes,49.70610238
01PLANT.Cow Parsley,02FV.Empis (Xanthempis) sp,19.69379018
01PLANT.Cow Parsley,02FV.Empis caudatula,39.38758037
01PLANT.Hogweed,02FV.Empis chioptera,13.0631557
01PLANT.Bindweed sp,02FV.Empis livida,99.41220475
01PLANT.Bramble,02FV.Empis livida,137.8565313
01PLANT.Bramble,02FV.Empis livida,149.1183071
01PLANT.Bramble,02FV.Empis livida,149.1518293
01PLANT.Charlock,02FV.Empis livida,14087.16448
01PLANT.Clover sp,02FV.Empis livida,2409.239841
01PLANT.Common Mouse-ear,02FV.Empis livida,6.531577848
01PLANT.Common Mouse-ear,02FV.Empis livida,739.5790043
01PLANT.Common Poppy,02FV.Empis livida,49.70610238
01PLANT.Common Vetch,02FV.Empis livida,99.41220476
01PLANT.Cow Parsley,02FV.Empis livida,78.77516072
01PLANT.Creeping Buttercup,02FV.Empis livida,747.57433
01PLANT.Creeping Buttercup,02FV.Empis livida,189.9383363
